,location,timestamp,11057,12724,13846,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,19896,38591
0,none,2015-02-17 10:17:41,500,500,500,500,500,500,100,100,500,28331,500,500,500
1,none,2015-02-17 10:17:42,500,500,500,500,500,500,100,100,500,28331,500,500,500
2,none,2015-02-17 10:17:43,500,500,500,500,500,500,100,87,500,28331,500,500,500
3,none,2015-02-17 10:17:44,500,500,500,500,500,500,100,87,500,28331,500,500,500
4,1_entrance,2015-02-17 10:17:45,500,500,500,500,500,500,100,88,500,28331,500,500,500
5,1_entrance,2015-02-17 10:17:46,500,500,500,500,500,500,89,87,500,28331,500,500,500
6,1_entrance,2015-02-17 10:17:47,500,500,500,500,500,500,89,87,500,28331,500,500,500
7,1_entrance,2015-02-17 10:17:48,500,500,500,500,500,89,88,89,500,28331,500,500,500
8,1_entrance,2015-02-17 10:17:49,500,500,500,500,500,100,89,86,89,28331,500,500,500
9,1_entrance,2015-02-17 10:17:50,500,500,500,500,500,100,88,87,89,28331,500,500,500
10,1_entrance,2015-02-17 10:17:51,500,500,500,500,500,100,89,87,100,28331,500,500,500
11,1_entrance,2015-02-17 10:17:52,500,500,500,500,500,100,87,86,100,28331,500,500,500
12,1_entrance,2015-02-17 10:17:53,500,500,500,500,500,100,84,87,100,28331,500,500,500
13,1_entrance,2015-02-17 10:17:54,500,500,500,500,500,100,86,87,100,28331,500,500,500
14,1_entrance,2015-02-17 10:17:55,500,500,500,500,500,88,86,87,100,28331,500,500,500
15,1_entrance,2015-02-17 10:17:56,500,500,500,500,500,88,100,85,100,28331,500,500,500
16,1_entrance,2015-02-17 10:17:57,500,500,500,500,500,100,100,84,100,28331,500,500,500
17,1_entrance,2015-02-17 10:17:58,500,500,500,500,500,100,88,87,100,28331,500,500,500
18,1_entrance,2015-02-17 10:17:59,500,500,500,500,500,100,84,100,500,28331,500,500,500
19,1_entrance,2015-02-17 10:18:00,500,500,500,500,500,100,83,84,500,28331,500,500,500
20,1_entrance,2015-02-17 10:18:01,500,500,500,500,500,100,85,87,500,28331,500,500,500
21,1_entrance,2015-02-17 10:18:02,500,500,500,500,500,100,87,87,500,28331,500,500,500
22,1_entrance,2015-02-17 10:18:03,500,500,500,500,500,100,86,100,500,28331,500,500,500
23,1_entrance,2015-02-17 10:18:04,500,500,500,500,500,100,78,88,500,28331,500,500,500
24,1_entrance,2015-02-17 10:18:05,500,500,500,500,500,500,78,88,500,28331,500,500,500
25,1_entrance,2015-02-17 10:18:06,500,500,500,500,500,500,86,87,500,28331,500,500,500
26,1_entrance,2015-02-17 10:18:07,500,500,500,500,500,500,89,87,500,28331,500,500,500
27,1_entrance,2015-02-17 10:18:08,500,500,500,500,500,500,100,87,500,28331,500,500,500
28,1_entrance,2015-02-17 10:18:09,500,500,500,500,500,500,100,86,500,28331,500,500,500
29,1_entrance,2015-02-17 10:18:10,500,500,500,500,500,500,88,87,500,28331,500,500,500
30,1_entrance,2015-02-17 10:18:11,500,500,500,500,500,500,88,100,500,28331,500,500,500
31,1_entrance,2015-02-17 10:18:12,500,500,500,500,500,500,87,100,500,28331,500,500,500
32,1_entrance,2015-02-17 10:18:13,500,500,500,500,500,500,88,100,500,28331,500,500,500
33,1_entrance,2015-02-17 10:18:14,500,500,500,500,500,500,100,100,500,28331,500,500,500
34,1_entrance,2015-02-17 10:18:15,500,500,500,500,500,500,100,86,500,28331,500,500,500
35,1_entrance,2015-02-17 10:18:16,500,500,500,500,500,500,100,88,500,28331,500,500,500
36,1_entrance,2015-02-17 10:18:17,500,500,500,500,500,500,88,100,500,28331,500,500,500
37,1_entrance,2015-02-17 10:18:18,500,500,500,500,500,500,88,85,500,28331,500,500,500
38,1_entrance,2015-02-17 10:18:19,500,500,500,500,500,500,100,86,87,28331,500,500,500
39,1_entrance,2015-02-17 10:18:20,500,500,500,500,500,500,87,86,87,28331,500,500,500
40,1_entrance,2015-02-17 10:18:21,500,500,500,500,500,88,87,88,87,28331,500,500,500
41,1_entrance,2015-02-17 10:18:22,500,500,500,500,500,88,88,87,89,28331,500,500,500
42,1_entrance,2015-02-17 10:18:23,500,500,500,500,500,100,88,84,88,28331,500,500,500
43,1_entrance,2015-02-17 10:18:24,500,500,500,500,500,100,89,85,100,28331,500,500,500
44,1_entrance,2015-02-17 10:18:25,500,500,500,500,500,100,88,87,100,28331,500,500,500
45,1_entrance,2015-02-17 10:18:26,500,500,500,500,500,100,88,85,100,28331,500,500,500
46,1_entrance,2015-02-17 10:18:27,500,500,500,500,500,100,87,84,100,28331,500,500,500
47,1_entrance,2015-02-17 10:18:28,500,500,500,500,500,100,87,86,100,28331,500,500,500
48,1_entrance,2015-02-17 10:18:29,500,500,500,500,500,100,88,85,100,28331,500,500,500
49,1_entrance,2015-02-17 10:18:30,500,500,500,500,500,100,87,85,100,28331,500,500,500
50,1_entrance,2015-02-17 10:18:31,500,500,500,500,500,500,88,84,100,28331,500,500,500
51,1_entrance,2015-02-17 10:18:32,500,500,500,500,500,500,86,83,100,28331,500,500,500
52,1_entrance,2015-02-17 10:18:33,500,500,500,500,500,500,86,89,500,28331,500,500,500
53,1_entrance,2015-02-17 10:18:34,500,500,500,500,500,500,86,88,500,28331,500,500,500
54,1_entrance,2015-02-17 10:18:35,500,500,500,500,500,500,87,85,500,28331,500,500,500
55,1_entrance,2015-02-17 10:18:36,500,500,500,500,500,500,85,85,500,28331,500,500,500
56,1_entrance,2015-02-17 10:18:37,500,500,500,500,500,500,86,85,500,28331,500,500,500
57,1_entrance,2015-02-17 10:18:38,500,500,500,500,500,500,100,82,500,28331,500,500,500
58,1_entrance,2015-02-17 10:18:39,500,500,500,500,500,500,100,81,500,28331,500,500,500
59,1_entrance,2015-02-17 10:18:40,500,500,500,89,500,500,100,81,500,28331,500,500,500
60,1_entrance,2015-02-17 10:18:41,500,500,500,89,500,500,100,100,89,28331,500,500,500
61,none,2015-02-17 10:18:42,500,500,500,100,500,81,100,100,100,28331,500,500,500
62,none,2015-02-17 10:18:43,500,500,500,100,500,82,100,100,100,28331,500,500,500
63,none,2015-02-17 10:18:44,500,500,500,100,500,83,100,100,100,28331,500,500,500
64,none,2015-02-17 10:18:45,500,500,500,100,500,83,100,100,100,28331,500,500,500
65,none,2015-02-17 10:18:46,500,500,500,100,500,89,500,100,100,28331,500,500,500
66,none,2015-02-17 10:18:47,500,500,500,100,500,89,500,88,100,28331,500,500,500
67,none,2015-02-17 10:18:48,500,500,500,89,500,100,500,87,100,28331,500,500,500
68,none,2015-02-17 10:18:49,500,500,500,100,500,86,500,86,100,28331,500,500,500
69,none,2015-02-17 10:18:50,500,500,500,100,500,100,500,87,100,28331,500,500,500
70,1_lobby_aud,2015-02-17 10:18:51,500,500,500,100,500,100,87,86,500,28331,500,500,500
71,1_lobby_aud,2015-02-17 10:18:52,500,500,500,100,500,88,87,86,500,28331,500,500,500
72,1_lobby_aud,2015-02-17 10:18:53,500,500,500,100,500,100,87,86,500,28331,500,500,500
73,1_lobby_aud,2015-02-17 10:18:54,500,500,500,100,500,100,87,87,500,28331,500,500,500
74,1_lobby_aud,2015-02-17 10:18:55,500,500,500,100,500,87,100,89,500,28331,500,500,500
75,1_lobby_aud,2015-02-17 10:18:56,500,500,500,100,500,85,100,89,500,28331,500,500,500
76,1_lobby_aud,2015-02-17 10:18:57,500,500,500,100,500,83,100,89,500,28331,500,500,500
77,1_lobby_aud,2015-02-17 10:18:58,500,500,500,500,500,81,100,89,500,28331,500,500,500
78,1_lobby_aud,2015-02-17 10:18:59,500,500,500,500,500,80,100,100,500,28331,500,500,500
79,1_lobby_aud,2015-02-17 10:19:00,500,500,500,500,500,81,100,100,500,28331,500,500,500
80,1_lobby_aud,2015-02-17 10:19:01,500,500,500,500,500,84,100,100,500,28331,500,500,500
81,1_lobby_aud,2015-02-17 10:19:02,500,500,500,500,500,85,100,100,500,28331,500,500,500
82,1_lobby_aud,2015-02-17 10:19:03,500,500,500,500,500,87,500,100,500,28331,500,500,500
83,1_lobby_aud,2015-02-17 10:19:04,500,500,500,500,500,85,500,100,500,28331,500,500,500
84,1_lobby_aud,2015-02-17 10:19:05,500,500,500,500,500,80,500,100,500,28331,500,500,500
85,1_lobby_aud,2015-02-17 10:19:06,500,500,500,500,500,78,500,100,500,28331,500,500,500
86,1_lobby_aud,2015-02-17 10:19:07,500,500,500,500,500,82,500,500,500,28331,500,500,500
