,location,timestamp,11057,12724,13846,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,19896,38591
0,none,2015-02-17 10:17:41,500,500,500,500,500,88,81,83,86,10382,500,500,500
1,none,2015-02-17 10:17:42,500,500,500,500,500,86,80,83,87,10382,500,500,500
2,none,2015-02-17 10:17:43,500,500,500,86,500,84,77,78,89,10382,500,500,500
3,none,2015-02-17 10:17:44,500,500,500,100,500,88,80,79,89,10382,500,500,500
4,1_entrance,2015-02-17 10:17:45,500,500,500,100,500,88,81,79,100,10382,500,500,500
5,1_entrance,2015-02-17 10:17:46,500,500,500,87,500,100,86,87,100,10382,500,500,500
6,1_entrance,2015-02-17 10:17:47,500,500,500,100,500,85,84,83,100,10382,500,500,500
7,1_entrance,2015-02-17 10:17:48,500,500,500,100,500,100,84,82,100,10382,500,500,500
8,1_entrance,2015-02-17 10:17:49,500,500,500,89,500,89,83,80,100,10382,500,500,500
9,1_entrance,2015-02-17 10:17:50,500,500,500,100,500,100,83,76,100,10382,500,500,500
10,1_entrance,2015-02-17 10:17:51,500,500,500,88,500,85,87,81,100,10382,500,500,500
11,1_entrance,2015-02-17 10:17:52,500,500,500,100,500,100,82,82,100,10382,500,500,500
12,1_entrance,2015-02-17 10:17:53,500,500,500,100,500,100,83,81,500,10382,500,500,500
13,1_entrance,2015-02-17 10:17:54,500,500,500,100,500,100,83,81,500,10382,500,500,500
14,1_entrance,2015-02-17 10:17:55,500,500,500,100,500,86,83,78,500,10382,500,500,500
15,1_entrance,2015-02-17 10:17:56,500,500,500,100,500,86,80,77,500,10382,500,500,500
16,1_entrance,2015-02-17 10:17:57,500,500,500,100,500,100,79,74,500,10382,500,500,500
17,1_entrance,2015-02-17 10:17:58,500,500,500,100,500,82,80,72,85,10382,500,500,500
18,1_entrance,2015-02-17 10:17:59,500,500,500,88,500,79,81,70,85,10382,500,500,500
19,1_entrance,2015-02-17 10:18:00,500,500,500,88,500,80,81,69,100,10382,500,500,500
20,1_entrance,2015-02-17 10:18:01,89,500,500,100,500,82,83,70,89,10382,500,500,500
21,1_entrance,2015-02-17 10:18:02,100,500,500,88,500,80,86,73,89,10382,500,500,500
22,1_entrance,2015-02-17 10:18:03,100,500,500,87,86,80,85,78,88,10382,500,500,500
23,1_entrance,2015-02-17 10:18:04,100,500,500,87,100,83,83,76,100,10382,500,500,500
24,1_entrance,2015-02-17 10:18:05,100,500,500,100,100,87,79,79,100,10382,500,500,500
25,1_entrance,2015-02-17 10:18:06,100,500,500,100,100,87,76,76,100,10382,500,500,500
26,1_entrance,2015-02-17 10:18:07,100,500,500,100,100,100,76,82,100,10382,500,500,500
27,1_entrance,2015-02-17 10:18:08,100,500,500,100,100,89,75,81,100,10382,500,500,500
28,1_entrance,2015-02-17 10:18:09,100,500,500,100,100,89,77,82,100,10382,500,500,500
29,1_entrance,2015-02-17 10:18:10,100,500,500,100,100,89,80,80,87,10382,500,500,500
30,1_entrance,2015-02-17 10:18:11,500,500,500,100,100,100,78,78,87,10382,500,500,500
31,1_entrance,2015-02-17 10:18:12,500,500,89,87,100,84,78,80,85,10382,500,500,500
32,1_entrance,2015-02-17 10:18:13,500,500,86,87,500,81,78,79,86,10382,500,500,500
33,1_entrance,2015-02-17 10:18:14,500,500,86,100,500,86,83,80,84,10382,500,500,500
34,1_entrance,2015-02-17 10:18:15,500,500,100,100,500,100,79,78,85,10382,500,500,500
35,1_entrance,2015-02-17 10:18:16,500,500,100,100,500,100,81,80,88,10382,500,500,500
36,1_entrance,2015-02-17 10:18:17,500,500,100,100,500,100,85,83,100,10382,500,500,500
37,1_entrance,2015-02-17 10:18:18,500,500,100,100,500,100,87,84,100,10382,500,500,500
38,1_entrance,2015-02-17 10:18:19,500,500,100,100,500,100,80,86,100,10382,500,500,500
39,1_entrance,2015-02-17 10:18:20,500,500,100,100,500,88,80,84,100,10382,500,500,500
40,1_entrance,2015-02-17 10:18:21,500,500,100,100,500,88,87,84,100,10382,500,500,500
41,1_entrance,2015-02-17 10:18:22,500,500,100,500,500,100,83,82,100,10382,500,500,500
42,1_entrance,2015-02-17 10:18:23,500,500,500,500,500,100,81,83,100,10382,500,500,500
