,location,timestamp,11057,12724,13846,19896,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,38591
0,none,2015-02-17 10:11:43,500,500,500,500,100,500,100,81,84,88,34777,500,500
1,none,2015-02-17 10:11:44,500,500,500,500,84,500,100,85,82,88,34777,500,500
2,none,2015-02-17 10:11:45,500,500,500,500,83,500,100,83,78,100,34777,500,500
3,none,2015-02-17 10:11:46,500,500,500,500,85,500,79,85,77,84,34777,500,500
4,none,2015-02-17 10:11:47,500,500,500,500,85,500,82,79,81,82,34777,500,500
5,1_entrance,2015-02-17 10:11:48,500,500,500,500,84,500,85,80,78,85,34777,500,500
6,1_entrance,2015-02-17 10:11:49,500,500,500,500,100,500,86,77,79,85,34777,500,500
7,1_entrance,2015-02-17 10:11:50,500,500,500,500,82,500,85,76,80,100,34777,500,500
8,1_entrance,2015-02-17 10:11:51,87,500,500,500,82,500,83,78,79,100,34777,500,500
9,1_entrance,2015-02-17 10:11:53,100,500,500,500,85,500,81,76,77,100,34777,500,500
10,1_entrance,2015-02-17 10:11:53,100,500,500,500,85,500,81,76,77,100,34777,500,500
11,1_entrance,2015-02-17 10:11:54,100,500,500,500,86,500,82,76,77,100,34777,500,500
12,1_entrance,2015-02-17 10:11:55,100,500,500,500,100,500,83,77,78,100,34777,500,500
13,1_entrance,2015-02-17 10:11:56,100,500,500,500,100,500,88,79,78,100,34777,500,500
14,1_entrance,2015-02-17 10:11:57,100,500,500,500,100,500,84,80,78,100,34777,500,500
15,1_entrance,2015-02-17 10:11:58,100,500,500,500,81,500,80,77,75,82,34777,500,500
16,1_entrance,2015-02-17 10:11:59,100,500,500,500,84,500,82,78,76,85,34777,500,500
17,1_entrance,2015-02-17 10:12:00,100,500,500,500,83,500,83,79,76,88,34777,500,500
18,1_entrance,2015-02-17 10:12:01,500,500,500,500,81,500,100,73,76,84,34777,500,500
19,1_entrance,2015-02-17 10:12:02,500,500,500,500,100,500,84,73,77,83,34777,500,500
20,1_entrance,2015-02-17 10:12:03,500,500,500,500,100,500,100,84,79,83,34777,500,500
21,1_entrance,2015-02-17 10:12:04,500,500,500,500,100,500,80,84,79,100,34777,500,500
22,1_entrance,2015-02-17 10:12:05,500,500,500,500,82,500,84,77,81,100,34777,500,500
23,1_entrance,2015-02-17 10:12:06,500,500,500,500,82,500,87,77,81,100,34777,500,500
24,1_entrance,2015-02-17 10:12:07,500,500,500,500,83,500,85,75,100,84,34777,500,500
25,1_entrance,2015-02-17 10:12:08,500,500,500,500,83,500,100,75,100,100,34777,500,500
26,1_entrance,2015-02-17 10:12:09,500,500,500,500,82,500,100,79,77,88,34777,500,500
27,1_entrance,2015-02-17 10:12:10,500,500,500,500,100,500,84,79,77,100,34777,500,500
28,1_entrance,2015-02-17 10:12:11,500,500,500,500,81,500,83,78,77,84,34777,500,500
29,1_entrance,2015-02-17 10:12:12,500,500,500,500,81,500,85,78,77,100,34777,500,500
30,1_entrance,2015-02-17 10:12:13,88,500,500,500,81,500,85,100,76,100,34777,500,500
31,1_entrance,2015-02-17 10:12:14,87,500,500,500,83,500,82,100,76,100,34777,500,500
32,1_entrance,2015-02-17 10:12:15,100,500,500,500,86,500,100,86,100,100,34777,500,500
33,1_entrance,2015-02-17 10:12:16,100,500,500,500,87,500,83,86,100,100,34777,500,500
34,1_entrance,2015-02-17 10:12:17,100,500,500,500,88,500,82,79,75,81,34777,500,500
35,1_entrance,2015-02-17 10:12:18,100,500,500,500,85,500,83,79,75,100,34777,500,500
36,1_entrance,2015-02-17 10:12:19,100,500,500,500,81,500,85,85,75,100,34777,500,500
37,1_entrance,2015-02-17 10:12:20,100,500,500,500,82,87,100,85,75,100,34777,500,500
38,1_entrance,2015-02-17 10:12:21,100,500,500,500,100,100,100,74,86,88,34777,500,500
39,1_entrance,2015-02-17 10:12:22,84,500,500,500,100,100,100,74,86,100,34777,500,500
