,location,timestamp,11057,12647,12724,13846,19896,28873,31853,34946,38215,38591,40399,47682,visitor_history_id
0,none,2015-02-17 11:18:39,100,500,500,500,500,88,100,100,84,500,86,88,47622
1,none,2015-02-17 11:18:40,100,500,500,500,500,88,500,100,82,500,86,87,47622
2,none,2015-02-17 11:18:41,87,500,500,500,500,86,500,100,80,500,81,88,47622
3,none,2015-02-17 11:18:42,100,500,500,500,500,89,500,100,80,500,78,100,47622
4,none,2015-02-17 11:18:43,100,500,500,500,500,100,500,82,86,500,89,86,47622
5,none,2015-02-17 11:18:44,100,500,500,500,500,100,500,81,82,500,87,86,47622
6,none,2015-02-17 11:18:45,100,500,500,500,500,86,500,81,78,500,87,100,47622
7,none,2015-02-17 11:18:46,100,500,500,500,500,83,500,100,78,500,86,100,47622
8,none,2015-02-17 11:18:47,100,500,500,500,500,100,500,100,75,500,83,100,47622
9,1_entrance,2015-02-17 11:18:48,100,500,500,500,500,100,500,100,75,500,82,100,47622
10,1_entrance,2015-02-17 11:18:49,100,500,500,500,500,100,500,100,72,500,82,100,47622
11,1_entrance,2015-02-17 11:18:50,100,500,500,500,500,100,500,100,71,500,82,100,47622
12,1_entrance,2015-02-17 11:18:51,500,500,500,500,500,87,500,100,79,500,81,100,47622
13,1_entrance,2015-02-17 11:18:52,500,500,500,500,500,88,500,100,80,500,80,100,47622
14,1_entrance,2015-02-17 11:18:53,500,500,500,500,500,89,500,100,80,500,79,100,47622
15,1_entrance,2015-02-17 11:18:54,500,500,500,500,500,100,500,88,76,500,78,500,47622
16,1_entrance,2015-02-17 11:18:54,500,500,500,500,500,100,500,88,76,500,78,500,47622
17,1_entrance,2015-02-17 11:18:56,500,500,500,500,500,100,500,86,73,500,79,500,47622
18,1_entrance,2015-02-17 11:18:57,500,500,500,500,500,100,500,87,78,500,78,500,47622
19,1_entrance,2015-02-17 11:18:57,500,500,500,500,500,100,500,87,78,500,78,500,47622
20,1_entrance,2015-02-17 11:18:59,500,500,500,500,500,89,500,100,77,500,81,500,47622
21,1_entrance,2015-02-17 11:18:59,500,500,500,500,500,89,500,100,77,500,81,500,47622
22,1_entrance,2015-02-17 11:19:01,500,500,500,500,500,100,500,100,74,500,82,88,47622
23,1_entrance,2015-02-17 11:19:02,500,500,500,500,500,100,500,100,74,500,82,100,47622
24,1_entrance,2015-02-17 11:19:03,500,500,500,500,500,100,500,100,77,500,81,88,47622
25,1_entrance,2015-02-17 11:19:04,500,500,500,500,500,100,500,89,77,500,82,100,47622
26,1_entrance,2015-02-17 11:19:05,500,500,500,500,500,100,500,89,76,500,82,100,47622
27,none,2015-02-17 11:19:06,500,500,500,500,500,100,500,100,73,500,83,100,47622
28,none,2015-02-17 11:19:07,500,500,500,500,500,100,500,100,72,500,83,100,47622
29,none,2015-02-17 11:19:08,500,500,500,500,500,88,500,100,78,500,81,100,47622
30,none,2015-02-17 11:19:09,500,500,500,500,500,100,500,100,76,500,80,100,47622
31,none,2015-02-17 11:19:10,500,500,500,500,500,100,500,100,74,500,80,100,47622
32,none,2015-02-17 11:19:11,500,500,500,500,500,100,500,100,77,500,79,100,47622
33,none,2015-02-17 11:19:12,500,500,500,500,500,100,500,100,78,500,78,100,47622
34,none,2015-02-17 11:19:13,500,500,500,500,500,100,500,84,77,500,76,500,47622
35,none,2015-02-17 11:19:14,500,500,500,500,500,100,500,100,75,500,81,500,47622
36,none,2015-02-17 11:19:15,500,500,500,500,500,100,500,82,77,500,81,87,47622
37,none,2015-02-17 11:19:16,500,500,500,500,500,100,500,85,75,500,79,87,47622
38,none,2015-02-17 11:19:17,500,500,500,500,500,100,500,81,76,500,81,89,47622
39,none,2015-02-17 11:19:18,500,500,500,500,500,500,500,82,77,500,85,88,47622
40,none,2015-02-17 11:19:19,500,500,500,500,500,500,89,85,77,500,82,88,47622
41,1_lobby_aud,2015-02-17 11:19:20,500,500,500,500,500,86,88,88,77,500,82,85,47622
42,1_lobby_aud,2015-02-17 11:19:21,500,500,500,500,500,87,88,100,79,500,82,86,47622
43,1_lobby_aud,2015-02-17 11:19:22,89,500,500,500,500,89,100,100,80,500,80,87,47622
44,1_lobby_aud,2015-02-17 11:19:23,89,500,500,500,500,88,100,77,79,500,78,84,47622
45,1_lobby_aud,2015-02-17 11:19:24,88,500,500,500,500,100,100,78,80,500,80,100,47622
46,1_lobby_aud,2015-02-17 11:19:25,81,500,500,500,500,100,88,77,81,500,83,100,47622
47,1_lobby_aud,2015-02-17 11:19:26,81,500,500,500,500,100,100,76,82,500,85,88,47622
48,1_lobby_aud,2015-02-17 11:19:27,100,500,500,500,500,88,100,72,88,500,89,100,47622
49,1_lobby_aud,2015-02-17 11:19:28,100,500,500,500,500,100,100,71,89,500,89,100,47622
50,1_lobby_aud,2015-02-17 11:19:29,100,500,500,500,500,100,100,71,89,500,100,100,47622
51,1_lobby_aud,2015-02-17 11:19:30,100,500,500,500,500,100,100,64,89,500,87,100,47622
52,1_lobby_aud,2015-02-17 11:19:30,100,500,500,500,500,100,100,64,89,500,87,100,47622
53,1_lobby_aud,2015-02-17 11:19:32,88,500,500,500,500,100,100,71,87,500,87,100,47622
54,1_lobby_aud,2015-02-17 11:19:32,88,500,500,500,500,100,100,71,87,500,87,100,47622
55,1_lobby_aud,2015-02-17 11:19:33,88,500,500,500,500,100,100,78,88,500,89,100,47622
56,1_lobby_aud,2015-02-17 11:19:34,100,500,500,500,500,100,100,100,100,500,88,100,47622
