,location,timestamp,11057,12647,12724,13846,19896,28873,31853,34946,38215,40399,47682,visitor_history_id,38591
0,none,2015-02-17 10:17:41,500,500,500,100,500,100,100,85,76,80,100,42211,500
1,none,2015-02-17 10:17:42,500,500,500,100,500,100,100,87,78,82,100,42211,500
2,none,2015-02-17 10:17:43,500,500,500,100,500,100,100,100,82,82,100,42211,500
3,none,2015-02-17 10:17:44,500,500,500,100,500,100,100,100,83,81,100,42211,500
4,1_entrance,2015-02-17 10:17:45,500,500,500,89,500,100,100,89,83,82,100,42211,500
5,1_entrance,2015-02-17 10:17:46,500,500,500,89,500,100,100,86,86,82,88,42211,500
6,1_entrance,2015-02-17 10:17:47,500,500,500,100,500,100,100,86,85,81,100,42211,500
7,1_entrance,2015-02-17 10:17:48,500,500,500,100,500,82,100,85,80,77,100,42211,500
8,1_entrance,2015-02-17 10:17:49,500,500,500,100,500,82,500,84,81,78,100,42211,500
9,1_entrance,2015-02-17 10:17:50,88,500,500,100,500,100,500,84,76,77,86,42211,500
10,1_entrance,2015-02-17 10:17:51,85,500,500,85,500,81,500,100,81,79,84,42211,500
11,1_entrance,2015-02-17 10:17:52,100,500,500,85,500,81,500,84,81,77,82,42211,500
12,1_entrance,2015-02-17 10:17:53,80,500,500,86,500,100,500,82,81,76,82,42211,500
13,1_entrance,2015-02-17 10:17:54,88,500,500,86,500,100,500,83,79,80,82,42211,500
14,1_entrance,2015-02-17 10:17:55,88,500,500,100,500,100,500,86,80,79,81,42211,500
15,1_entrance,2015-02-17 10:17:56,88,500,500,100,500,100,500,83,84,74,80,42211,500
16,1_entrance,2015-02-17 10:17:57,100,500,500,100,500,100,86,82,83,73,86,42211,500
17,1_entrance,2015-02-17 10:17:58,100,500,500,100,500,87,89,80,81,77,88,42211,500
18,1_entrance,2015-02-17 10:17:59,100,500,500,100,500,100,89,82,82,78,100,42211,500
19,1_entrance,2015-02-17 10:18:00,100,500,500,100,500,84,100,79,79,76,100,42211,500
20,1_entrance,2015-02-17 10:18:01,89,500,500,100,500,100,100,80,80,77,100,42211,500
21,1_entrance,2015-02-17 10:18:02,89,500,500,100,500,100,100,100,79,79,100,42211,500
22,1_entrance,2015-02-17 10:18:03,100,500,500,500,500,100,100,100,74,80,100,42211,500
23,1_entrance,2015-02-17 10:18:04,88,500,500,500,500,100,100,80,71,81,100,42211,500
24,1_entrance,2015-02-17 10:18:05,88,500,500,500,500,100,100,100,73,82,85,42211,500
25,1_entrance,2015-02-17 10:18:06,100,500,500,500,500,100,100,85,76,82,85,42211,500
26,1_entrance,2015-02-17 10:18:07,100,500,500,500,500,88,100,86,69,82,100,42211,500
27,1_entrance,2015-02-17 10:18:08,100,500,500,500,500,88,500,84,72,81,89,42211,500
28,1_entrance,2015-02-17 10:18:09,100,500,500,500,500,100,500,85,80,78,100,42211,500
29,1_entrance,2015-02-17 10:18:10,100,500,500,500,500,100,500,83,80,78,88,42211,500
30,1_entrance,2015-02-17 10:18:11,100,500,500,500,500,100,500,83,85,82,88,42211,500
31,1_entrance,2015-02-17 10:18:12,100,500,500,500,500,100,500,87,84,83,89,42211,500
32,1_entrance,2015-02-17 10:18:13,100,500,500,500,500,100,500,83,80,86,88,42211,500
33,1_entrance,2015-02-17 10:18:14,500,500,500,500,500,100,500,85,77,84,86,42211,500
34,1_entrance,2015-02-17 10:18:15,500,500,500,500,500,100,500,87,81,82,85,42211,500
35,1_entrance,2015-02-17 10:18:16,500,500,500,500,500,100,500,100,87,78,100,42211,500
36,1_entrance,2015-02-17 10:18:17,500,500,500,500,500,500,500,87,86,81,100,42211,500
37,1_entrance,2015-02-17 10:18:18,81,500,500,500,500,500,500,87,85,81,100,42211,500
38,1_entrance,2015-02-17 10:18:19,81,500,500,87,500,87,500,87,82,79,100,42211,500
39,1_entrance,2015-02-17 10:18:20,88,500,500,87,500,100,500,87,82,84,82,42211,500
