,location,timestamp,11057,13846,19896,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,12724,38591
0,none,2015-02-17 10:11:45,100,500,500,100,100,100,100,100,100,55983,500,500,500
1,none,2015-02-17 10:11:46,100,500,500,86,100,79,73,73,81,55983,500,500,500
2,none,2015-02-17 10:11:47,100,500,500,100,100,100,73,76,85,55983,500,500,500
3,1_entrance,2015-02-17 10:11:48,100,500,500,84,100,83,71,78,87,55983,500,500,500
4,1_entrance,2015-02-17 10:11:49,100,500,500,85,100,100,77,77,88,55983,500,500,500
5,1_entrance,2015-02-17 10:11:50,100,500,500,85,100,89,78,78,100,55983,500,500,500
6,1_entrance,2015-02-17 10:11:51,100,500,500,85,100,100,78,78,88,55983,500,500,500
7,1_entrance,2015-02-17 10:11:53,100,500,500,100,500,85,71,77,87,55983,500,500,500
8,1_entrance,2015-02-17 10:11:53,100,500,500,100,500,85,71,77,87,55983,500,500,500
9,1_entrance,2015-02-17 10:11:54,500,500,500,88,500,83,74,78,87,55983,500,500,500
10,1_entrance,2015-02-17 10:11:55,500,500,500,87,500,82,73,76,100,55983,500,500,500
11,1_entrance,2015-02-17 10:11:56,500,500,500,87,500,87,73,75,100,55983,500,500,500
12,1_entrance,2015-02-17 10:11:57,500,500,500,100,500,87,77,76,89,55983,500,500,500
13,1_entrance,2015-02-17 10:11:58,500,500,500,100,500,100,77,82,86,55983,500,500,500
14,1_entrance,2015-02-17 10:11:59,500,500,500,100,500,83,74,100,85,55983,500,500,500
15,1_entrance,2015-02-17 10:12:00,500,500,500,100,500,83,74,72,86,55983,500,500,500
16,1_entrance,2015-02-17 10:12:01,500,500,500,86,500,85,82,100,83,55983,500,500,500
17,1_entrance,2015-02-17 10:12:02,500,500,500,86,500,84,82,78,83,55983,500,500,500
18,1_entrance,2015-02-17 10:12:03,500,500,500,86,500,81,70,100,100,55983,500,500,500
19,1_entrance,2015-02-17 10:12:04,500,500,500,100,500,81,70,100,100,55983,500,500,500
20,1_entrance,2015-02-17 10:12:05,500,500,500,87,500,100,83,100,100,55983,500,500,500
21,1_entrance,2015-02-17 10:12:06,500,500,500,81,500,100,83,76,100,55983,500,500,500
22,1_entrance,2015-02-17 10:12:07,500,500,500,89,500,82,71,100,100,55983,500,500,500
23,1_entrance,2015-02-17 10:12:08,500,500,500,100,500,80,71,76,100,55983,500,500,500
24,1_entrance,2015-02-17 10:12:09,500,500,500,100,500,83,68,100,100,55983,500,500,500
25,1_entrance,2015-02-17 10:12:10,500,500,500,86,500,80,68,76,100,55983,500,500,500
26,1_entrance,2015-02-17 10:12:11,500,500,500,85,500,85,100,100,500,55983,500,500,500
27,1_entrance,2015-02-17 10:12:12,500,500,500,84,500,85,100,83,500,55983,500,500,500
28,1_entrance,2015-02-17 10:12:13,500,89,500,84,500,83,100,100,500,55983,500,500,500
29,1_entrance,2015-02-17 10:12:14,500,89,500,100,500,83,100,86,500,55983,500,500,500
30,1_entrance,2015-02-17 10:12:15,500,100,500,100,500,100,100,100,500,55983,500,500,500
31,1_entrance,2015-02-17 10:12:16,500,100,500,100,500,100,100,79,500,55983,500,500,500
32,1_entrance,2015-02-17 10:12:17,500,100,500,100,500,88,78,100,500,55983,500,500,500
33,1_entrance,2015-02-17 10:12:18,500,100,500,87,89,88,78,81,500,55983,500,500,500
34,1_entrance,2015-02-17 10:12:19,500,89,500,88,89,89,83,100,500,55983,500,500,500
35,1_entrance,2015-02-17 10:12:20,500,89,500,85,100,82,83,100,500,55983,500,500,500
36,1_entrance,2015-02-17 10:12:21,500,100,500,82,100,76,100,100,500,55983,500,500,500
37,1_entrance,2015-02-17 10:12:22,500,100,500,85,100,78,100,76,500,55983,500,500,500
38,1_entrance,2015-02-17 10:12:23,88,100,500,87,100,78,89,100,500,55983,500,500,500
39,1_entrance,2015-02-17 10:12:24,84,100,500,100,100,78,89,79,500,55983,500,500,500
