,location,timestamp,11057,13846,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,12724,19896,38591
59,1_entrance,2015-02-17 10:28:29,500,500,100,500,100,87,85,100,30946,500,500,500,500
60,1_entrance,2015-02-17 10:28:30,500,500,500,500,100,86,84,100,30946,500,500,500,500
61,1_entrance,2015-02-17 10:28:31,500,500,500,500,100,86,83,100,30946,500,500,500,500
62,1_entrance,2015-02-17 10:28:32,500,500,500,500,100,85,81,100,30946,500,500,500,500
63,1_entrance,2015-02-17 10:28:33,500,500,86,500,500,83,86,100,30946,500,500,500,500
64,1_entrance,2015-02-17 10:28:34,500,500,86,500,500,81,84,500,30946,500,500,500,500
65,1_entrance,2015-02-17 10:28:35,500,500,100,500,500,80,84,500,30946,500,500,500,500
66,1_entrance,2015-02-17 10:28:36,500,500,100,500,500,82,82,500,30946,500,500,500,500
67,1_entrance,2015-02-17 10:28:37,500,500,100,500,500,80,84,500,30946,500,500,500,500
68,1_entrance,2015-02-17 10:28:38,500,500,100,500,500,80,86,500,30946,500,500,500,500
69,1_entrance,2015-02-17 10:28:39,500,500,100,500,500,81,82,500,30946,500,500,500,500
70,1_entrance,2015-02-17 10:28:40,500,500,100,500,500,80,83,500,30946,500,500,500,500
71,1_entrance,2015-02-17 10:28:41,500,500,87,500,500,76,83,500,30946,500,500,500,500
72,1_entrance,2015-02-17 10:28:42,500,500,100,500,500,78,87,500,30946,500,500,500,500
73,1_entrance,2015-02-17 10:28:43,500,500,100,500,87,80,85,500,30946,500,500,500,500
74,1_entrance,2015-02-17 10:28:44,500,500,100,500,100,78,85,500,30946,500,500,500,500
75,1_entrance,2015-02-17 10:28:45,500,500,100,500,88,79,83,500,30946,500,500,500,500
76,none,2015-02-17 10:28:46,500,500,100,500,100,79,86,500,30946,500,500,500,500
77,none,2015-02-17 10:28:47,500,500,89,500,100,79,81,500,30946,500,500,500,500
78,none,2015-02-17 10:28:48,89,500,89,500,86,82,81,500,30946,500,500,500,500
79,none,2015-02-17 10:28:49,89,500,100,500,83,84,81,500,30946,500,500,500,500
80,none,2015-02-17 10:28:50,100,500,100,500,81,82,81,500,30946,500,500,500,500
81,none,2015-02-17 10:28:51,100,500,89,88,84,84,79,500,30946,500,500,500,500
82,none,2015-02-17 10:28:52,100,500,89,100,89,80,80,500,30946,500,500,500,500
83,none,2015-02-17 10:28:53,100,500,100,88,87,81,84,500,30946,500,500,500,500
84,none,2015-02-17 10:28:54,100,500,86,100,87,82,84,500,30946,500,500,500,500
85,none,2015-02-17 10:28:55,100,500,86,87,82,84,84,89,30946,500,500,500,500
86,1_lobby_aud,2015-02-17 10:28:56,100,500,87,89,84,85,85,89,30946,500,500,500,500
87,1_lobby_aud,2015-02-17 10:28:57,89,500,89,100,81,85,86,100,30946,500,500,500,500
88,1_lobby_aud,2015-02-17 10:28:58,100,500,100,87,75,84,83,100,30946,500,500,500,500
89,1_lobby_aud,2015-02-17 10:28:59,89,500,100,88,80,86,79,100,30946,500,500,500,500
90,1_lobby_aud,2015-02-17 10:29:00,100,500,100,89,84,86,77,100,30946,500,500,500,500
91,1_lobby_aud,2015-02-17 10:29:01,100,500,100,100,82,87,84,100,30946,500,500,500,500
92,1_lobby_aud,2015-02-17 10:29:02,100,500,100,100,100,88,84,100,30946,500,500,500,500
93,1_lobby_aud,2015-02-17 10:29:03,100,500,100,100,84,86,88,100,30946,500,500,500,500
94,1_lobby_aud,2015-02-17 10:29:04,88,500,100,100,80,86,87,100,30946,500,500,500,500
95,1_lobby_aud,2015-02-17 10:29:05,88,500,100,100,100,100,87,500,30946,500,500,500,500
96,1_lobby_aud,2015-02-17 10:29:06,100,500,100,100,81,87,87,500,30946,500,500,500,500
97,1_lobby_aud,2015-02-17 10:29:07,100,500,500,100,79,88,89,500,30946,500,500,500,500
98,1_lobby_aud,2015-02-17 10:29:08,100,500,500,100,74,87,89,500,30946,500,500,500,500
99,1_lobby_aud,2015-02-17 10:29:09,100,500,500,500,71,87,100,500,30946,500,500,500,500
100,1_lobby_aud,2015-02-17 10:29:10,100,500,500,500,67,87,89,500,30946,500,500,500,500
101,1_lobby_aud,2015-02-17 10:29:11,100,500,500,500,64,88,85,500,30946,500,500,500,500
102,1_lobby_aud,2015-02-17 10:29:12,100,500,500,500,64,89,86,500,30946,500,500,500,500
103,1_lobby_aud,2015-02-17 10:29:13,100,500,500,500,64,87,87,500,30946,500,500,500,500
104,1_lobby_aud,2015-02-17 10:29:14,500,500,500,500,69,87,86,500,30946,500,500,500,500
105,1_lobby_aud,2015-02-17 10:29:15,88,500,500,500,69,86,88,500,30946,500,500,500,500
106,1_lobby_aud,2015-02-17 10:29:16,100,500,500,500,74,86,86,500,30946,500,500,500,500
107,1_lobby_aud,2015-02-17 10:29:17,100,500,500,500,76,87,88,500,30946,500,500,500,500
108,1_lobby_aud,2015-02-17 10:29:18,100,500,89,500,80,83,87,500,30946,500,500,500,500
109,1_lobby_aud,2015-02-17 10:29:19,100,500,100,500,81,85,84,87,30946,500,500,500,500
110,1_lobby_aud,2015-02-17 10:29:20,100,500,83,500,73,87,85,88,30946,500,500,500,500
111,1_lobby_aud,2015-02-17 10:29:21,100,500,86,88,75,87,83,89,30946,500,500,500,500
112,1_lobby_aud,2015-02-17 10:29:22,100,500,88,89,78,100,84,88,30946,500,500,500,500
113,1_lobby_aud,2015-02-17 10:29:23,100,500,100,100,84,85,80,87,30946,500,500,500,500
114,1_lobby_aud,2015-02-17 10:29:24,100,500,84,100,84,79,78,100,30946,500,500,500,500
115,1_lobby_aud,2015-02-17 10:29:25,500,500,100,100,100,79,79,100,30946,500,500,500,500
116,1_lobby_aud,2015-02-17 10:29:26,88,500,100,100,86,83,82,100,30946,500,500,500,500
117,1_lobby_aud,2015-02-17 10:29:27,88,500,100,100,89,82,87,100,30946,500,500,500,500
118,1_lobby_aud,2015-02-17 10:29:28,100,500,100,100,100,83,83,100,30946,500,500,500,500
119,1_lobby_aud,2015-02-17 10:29:29,86,500,88,100,87,87,86,100,30946,500,500,500,500
120,1_lobby_aud,2015-02-17 10:29:30,86,500,88,100,82,84,86,100,30946,500,500,500,500
121,1_lobby_aud,2015-02-17 10:29:31,85,500,88,100,77,85,79,88,30946,500,500,500,500
122,1_lobby_aud,2015-02-17 10:29:32,85,500,100,87,80,84,80,100,30946,500,500,500,500
123,1_lobby_aud,2015-02-17 10:29:33,89,500,89,87,86,83,87,100,30946,500,500,500,500
124,1_lobby_aud,2015-02-17 10:29:34,89,500,89,100,88,82,87,100,30946,500,500,500,500
125,1_lobby_aud,2015-02-17 10:29:35,86,500,88,100,86,81,85,100,30946,500,500,500,500
126,1_lobby_aud,2015-02-17 10:29:36,86,500,88,100,86,85,79,100,30946,500,500,500,500
127,1_lobby_aud,2015-02-17 10:29:37,100,500,100,100,75,87,86,100,30946,500,500,500,500
128,1_lobby_aud,2015-02-17 10:29:38,100,500,100,100,67,87,87,100,30946,500,500,500,500
129,1_lobby_aud,2015-02-17 10:29:39,100,500,100,100,76,100,100,100,30946,500,500,500,500
130,1_lobby_aud,2015-02-17 10:29:40,100,500,100,100,79,86,88,100,30946,500,500,500,500
131,1_lobby_aud,2015-02-17 10:29:41,100,500,100,100,75,88,87,500,30946,500,500,500,500
132,1_lobby_aud,2015-02-17 10:29:42,100,500,88,500,70,100,86,500,30946,500,500,500,500
133,1_lobby_aud,2015-02-17 10:29:43,100,500,100,86,70,100,83,500,30946,500,500,500,500
134,1_lobby_aud,2015-02-17 10:29:44,100,500,88,86,75,100,82,500,30946,500,500,500,500
135,1_lobby_aud,2015-02-17 10:29:45,86,500,89,86,84,100,85,500,30946,500,500,500,500
136,none,2015-02-17 10:29:46,87,500,100,88,77,87,79,500,30946,500,500,500,500
137,none,2015-02-17 10:29:47,89,500,100,89,83,100,83,500,30946,500,500,500,500
138,none,2015-02-17 10:29:48,84,500,100,100,81,89,84,500,30946,500,500,500,500
139,none,2015-02-17 10:29:49,84,500,100,100,82,89,85,500,30946,500,500,500,500
140,none,2015-02-17 10:29:50,86,500,100,100,86,89,100,500,30946,500,500,500,500
141,none,2015-02-17 10:29:51,86,500,100,100,82,100,89,500,30946,500,500,500,500
142,none,2015-02-17 10:29:52,87,500,100,100,84,100,89,500,30946,500,500,500,500
143,none,2015-02-17 10:29:53,88,500,100,100,84,100,100,500,30946,500,500,500,500
144,none,2015-02-17 10:29:54,88,500,100,100,84,100,100,500,30946,500,500,500,500
145,none,2015-02-17 10:29:55,88,500,500,100,85,100,100,500,30946,500,500,500,500
146,none,2015-02-17 10:29:56,100,500,500,500,84,100,88,500,30946,500,500,500,500
147,1_class_lezin,2015-02-17 10:29:57,82,500,500,500,84,100,87,500,30946,500,500,500,500
148,1_class_lezin,2015-02-17 10:29:58,88,500,500,500,86,100,100,500,30946,500,500,500,500
149,1_class_lezin,2015-02-17 10:29:59,84,500,500,500,100,500,100,500,30946,500,500,500,500
150,1_class_lezin,2015-02-17 10:30:00,86,500,500,500,100,500,100,500,30946,500,500,500,500
151,1_class_lezin,2015-02-17 10:30:01,85,500,500,500,85,500,100,500,30946,500,500,500,500
152,1_class_lezin,2015-02-17 10:30:02,87,500,500,500,82,500,88,500,30946,500,500,500,500
153,1_class_lezin,2015-02-17 10:30:03,100,500,500,500,79,500,88,500,30946,500,500,500,500
154,1_class_lezin,2015-02-17 10:30:04,83,500,500,500,79,500,100,500,30946,500,500,500,500
155,1_class_lezin,2015-02-17 10:30:05,83,500,500,500,81,500,89,500,30946,500,500,500,500
156,1_class_lezin,2015-02-17 10:30:06,83,500,500,500,77,500,100,500,30946,500,500,500,500
157,1_class_lezin,2015-02-17 10:30:07,86,500,500,500,89,500,100,500,30946,500,500,500,500
158,1_class_lezin,2015-02-17 10:30:08,84,500,500,500,100,500,100,500,30946,500,500,500,500
159,1_class_lezin,2015-02-17 10:30:09,83,500,500,500,84,500,85,500,30946,500,500,500,500
160,1_class_lezin,2015-02-17 10:30:10,100,500,500,500,100,500,86,500,30946,500,500,500,500
161,1_class_lezin,2015-02-17 10:30:11,100,500,500,500,86,500,84,500,30946,500,500,500,500
162,1_class_lezin,2015-02-17 10:30:12,100,500,500,500,79,89,84,500,30946,500,500,500,500
163,1_class_lezin,2015-02-17 10:30:13,85,500,500,500,83,100,85,500,30946,500,500,500,500
164,1_class_lezin,2015-02-17 10:30:14,86,500,500,500,85,100,100,500,30946,500,500,500,500
165,1_class_lezin,2015-02-17 10:30:15,87,500,500,500,81,100,100,500,30946,500,500,500,500
166,1_class_lezin,2015-02-17 10:30:16,87,500,500,500,82,100,100,500,30946,500,500,500,500
167,1_class_lezin,2015-02-17 10:30:17,89,500,500,500,86,100,100,500,30946,500,500,500,500
168,1_class_lezin,2015-02-17 10:30:18,100,500,500,500,87,100,100,500,30946,500,500,500,500
169,1_class_lezin,2015-02-17 10:30:19,89,500,500,500,88,100,100,500,30946,500,500,500,500
170,1_class_lezin,2015-02-17 10:30:20,85,500,500,500,83,100,100,500,30946,500,500,500,500
171,1_class_lezin,2015-02-17 10:30:21,100,500,500,500,83,100,89,500,30946,500,500,500,500
172,1_class_lezin,2015-02-17 10:30:22,86,500,500,500,80,500,89,500,30946,500,500,500,500
173,1_class_lezin,2015-02-17 10:30:23,82,500,500,500,79,500,85,500,30946,500,500,500,500
174,1_class_lezin,2015-02-17 10:30:24,100,500,500,500,78,500,100,500,30946,500,500,500,500
175,1_class_lezin,2015-02-17 10:30:25,100,500,500,500,100,500,89,500,30946,500,500,500,500
176,1_class_lezin,2015-02-17 10:30:26,85,500,500,500,84,500,100,500,30946,500,500,500,500
177,1_class_lezin,2015-02-17 10:30:27,87,500,500,500,78,500,87,500,30946,500,500,500,500
178,1_class_lezin,2015-02-17 10:30:28,87,500,500,500,100,500,86,500,30946,500,500,500,500
179,1_class_lezin,2015-02-17 10:30:29,85,500,500,500,100,500,86,500,30946,500,500,500,500
180,1_class_lezin,2015-02-17 10:30:30,83,500,500,500,89,500,100,500,30946,500,500,500,500
181,1_class_lezin,2015-02-17 10:30:31,83,500,500,500,87,500,89,500,30946,500,500,500,500
182,1_class_lezin,2015-02-17 10:30:32,85,500,500,500,86,500,100,500,30946,500,500,500,500
183,1_class_lezin,2015-02-17 10:30:33,81,500,500,500,81,500,89,500,30946,500,500,500,500
184,1_class_lezin,2015-02-17 10:30:34,82,500,500,500,85,500,86,500,30946,500,500,500,500
185,1_class_lezin,2015-02-17 10:30:35,84,500,500,500,86,500,89,500,30946,500,500,500,500
186,1_class_lezin,2015-02-17 10:30:36,85,500,500,500,86,500,89,500,30946,500,500,500,500
187,1_class_lezin,2015-02-17 10:30:37,100,500,500,500,85,500,100,500,30946,500,500,500,500
188,1_class_lezin,2015-02-17 10:30:38,100,500,500,500,100,500,100,500,30946,500,500,500,500
189,1_class_lezin,2015-02-17 10:30:39,100,500,500,500,83,500,100,500,30946,500,500,500,500
190,1_class_lezin,2015-02-17 10:30:40,84,500,500,500,79,500,100,500,30946,500,500,500,500
191,1_class_lezin,2015-02-17 10:30:41,84,500,500,500,81,500,100,500,30946,500,500,500,500
192,1_class_lezin,2015-02-17 10:30:42,86,500,500,500,88,500,89,500,30946,500,500,500,500
193,1_class_lezin,2015-02-17 10:30:43,100,500,500,500,78,500,89,500,30946,500,500,500,500
194,1_class_lezin,2015-02-17 10:30:44,85,500,500,500,79,500,100,500,30946,500,500,500,500
195,none,2015-02-17 10:30:45,85,500,500,500,82,500,85,500,30946,500,500,500,500
196,none,2015-02-17 10:30:46,100,500,87,500,83,500,86,500,30946,500,500,500,500
197,none,2015-02-17 10:30:47,100,500,100,89,85,87,85,89,30946,500,500,500,500
198,none,2015-02-17 10:30:48,100,500,89,89,100,85,85,89,30946,500,500,500,500
199,none,2015-02-17 10:30:50,100,500,87,89,89,87,87,87,30946,500,500,500,500
200,none,2015-02-17 10:30:50,100,500,87,89,89,87,87,87,30946,500,500,500,500
