,location,timestamp,11057,12647,12724,13846,19896,28873,31853,34946,38215,38591,40399,47682,visitor_history_id
0,location not selected,2015-02-17 10:51:27,500,500,500,500,500,86,500,89,78,500,83,500,65397
1,location not selected,2015-02-17 10:51:29,89,500,500,500,500,88,500,85,76,500,82,87,65397
2,location not selected,2015-02-17 10:51:30,100,500,500,500,500,88,500,84,82,500,82,100,65397
3,1_entrance,2015-02-17 10:51:31,100,500,500,500,500,85,500,84,82,500,83,100,65397
4,1_entrance,2015-02-17 10:51:32,100,500,500,500,500,100,500,100,83,500,79,100,65397
5,1_entrance,2015-02-17 10:51:32,100,500,500,500,500,100,500,100,83,500,79,100,65397
6,1_entrance,2015-02-17 10:51:34,100,500,500,500,500,100,500,89,82,500,85,100,65397
7,1_entrance,2015-02-17 10:51:35,100,500,500,500,500,100,500,89,83,500,84,100,65397
8,1_entrance,2015-02-17 10:51:35,100,500,500,500,500,100,500,89,83,500,84,100,65397
9,1_entrance,2015-02-17 10:51:36,100,500,500,500,500,100,500,89,81,500,84,100,65397
10,1_entrance,2015-02-17 10:51:38,500,500,500,500,500,89,500,100,81,500,82,89,65397
11,1_entrance,2015-02-17 10:51:39,500,500,500,500,500,100,500,100,82,500,84,100,65397
12,1_entrance,2015-02-17 10:51:40,500,500,500,500,500,100,500,85,84,500,82,100,65397
13,1_entrance,2015-02-17 10:51:40,500,500,500,500,500,100,500,85,84,500,82,100,65397
14,1_entrance,2015-02-17 10:51:42,500,500,500,500,500,100,500,89,86,500,89,100,65397
15,1_entrance,2015-02-17 10:51:42,500,500,500,500,500,100,500,89,86,500,89,100,65397
16,1_entrance,2015-02-17 10:51:44,500,500,500,500,500,100,500,100,100,500,100,100,65397
17,1_entrance,2015-02-17 10:51:45,500,500,500,500,500,100,500,100,100,500,100,100,65397
18,1_entrance,2015-02-17 10:51:46,500,500,500,500,500,100,500,100,100,500,100,100,65397
19,1_entrance,2015-02-17 10:51:47,500,500,500,500,500,100,500,100,100,500,100,100,65397
20,1_entrance,2015-02-17 10:51:47,500,500,500,500,500,100,500,100,100,500,100,100,65397
21,1_entrance,2015-02-17 10:51:49,500,500,500,500,500,500,500,100,100,500,100,500,65397
22,1_entrance,2015-02-17 10:51:49,500,500,500,500,500,500,500,100,100,500,100,500,65397
23,1_entrance,2015-02-17 10:51:50,500,500,500,500,500,500,500,100,100,500,100,500,65397
24,1_entrance,2015-02-17 10:51:51,500,500,500,500,500,500,500,100,100,500,500,500,65397
25,1_entrance,2015-02-17 10:51:52,500,500,500,500,500,500,500,500,500,500,500,500,65397
26,1_entrance,2015-02-17 10:51:53,500,500,500,500,500,500,500,500,500,500,500,500,65397
27,1_entrance,2015-02-17 10:51:54,500,500,500,500,500,500,500,500,500,500,500,500,65397
28,1_entrance,2015-02-17 10:51:55,500,500,500,500,500,500,500,500,500,500,500,500,65397
29,1_entrance,2015-02-17 10:51:56,500,500,500,500,500,500,500,500,500,500,500,500,65397
30,1_entrance,2015-02-17 10:51:57,500,500,500,500,500,500,500,500,500,500,500,500,65397
31,1_entrance,2015-02-17 10:51:58,500,500,500,500,500,500,500,500,500,500,500,500,65397
32,1_entrance,2015-02-17 10:51:59,500,500,500,500,500,500,500,83,87,500,500,500,65397
33,1_entrance,2015-02-17 10:52:00,500,500,500,500,500,500,500,87,100,500,500,500,65397
34,1_entrance,2015-02-17 10:52:01,500,500,500,500,500,500,500,100,100,500,500,500,65397
35,1_entrance,2015-02-17 10:52:02,500,500,500,500,500,86,500,100,100,500,500,500,65397
36,1_entrance,2015-02-17 10:52:03,500,500,500,500,500,86,500,100,88,500,500,500,65397
37,1_entrance,2015-02-17 10:52:04,500,500,500,500,500,87,500,88,100,500,500,500,65397
38,1_entrance,2015-02-17 10:52:05,500,500,500,500,500,100,500,88,100,500,500,500,65397
39,1_entrance,2015-02-17 10:52:06,500,500,500,500,500,89,500,88,100,500,500,500,65397
40,1_entrance,2015-02-17 10:52:07,500,500,500,500,500,89,500,84,100,500,80,89,65397
41,1_entrance,2015-02-17 10:52:08,500,500,500,500,500,100,500,81,100,500,80,100,65397
42,1_entrance,2015-02-17 10:52:09,500,500,500,500,500,100,500,80,82,500,100,100,65397
43,1_entrance,2015-02-17 10:52:10,500,500,500,500,500,100,500,83,100,500,100,100,65397
44,1_entrance,2015-02-17 10:52:11,500,500,500,500,500,88,500,87,84,500,78,85,65397
45,1_entrance,2015-02-17 10:52:12,500,500,500,500,500,87,500,87,100,500,78,100,65397
46,1_entrance,2015-02-17 10:52:14,500,500,500,500,500,80,500,80,100,500,100,100,65397
47,1_entrance,2015-02-17 10:52:14,500,500,500,500,500,80,500,80,100,500,100,100,65397
48,1_entrance,2015-02-17 10:52:15,500,500,500,500,500,100,500,100,84,500,100,100,65397
49,1_entrance,2015-02-17 10:52:17,500,500,500,500,500,83,500,83,77,500,74,84,65397
50,1_entrance,2015-02-17 10:52:18,89,500,500,500,500,100,500,100,100,500,74,100,65397
51,1_entrance,2015-02-17 10:52:18,89,500,500,500,500,100,500,100,100,500,74,100,65397
52,1_entrance,2015-02-17 10:52:19,86,500,500,500,500,100,500,100,76,500,87,88,65397
53,1_entrance,2015-02-17 10:52:21,100,500,500,500,500,100,500,87,74,500,86,100,65397
54,1_entrance,2015-02-17 10:52:21,100,500,500,500,500,100,500,87,74,500,86,100,65397
55,1_entrance,2015-02-17 10:52:23,85,500,500,500,500,86,500,82,80,500,78,87,65397
56,1_entrance,2015-02-17 10:52:23,85,500,500,500,500,86,500,82,80,500,78,87,65397
57,1_entrance,2015-02-17 10:52:25,100,500,500,500,500,100,500,83,83,500,84,89,65397
58,1_entrance,2015-02-17 10:52:26,100,500,500,500,500,100,500,79,100,500,84,100,65397
59,1_entrance,2015-02-17 10:52:27,100,500,500,500,500,100,500,79,87,500,77,88,65397
60,1_entrance,2015-02-17 10:52:28,100,500,500,89,500,100,500,80,100,500,77,100,65397
61,1_entrance,2015-02-17 10:52:28,100,500,500,89,500,100,500,80,100,500,77,100,65397
62,1_entrance,2015-02-17 10:52:30,100,500,500,100,500,86,500,84,100,500,100,100,65397
63,1_entrance,2015-02-17 10:52:31,100,500,500,100,500,87,500,88,82,500,72,100,65397
64,1_entrance,2015-02-17 10:52:32,500,500,500,100,500,88,500,88,100,500,72,100,65397
65,1_entrance,2015-02-17 10:52:33,500,500,500,100,500,100,500,88,100,500,100,100,65397
66,1_entrance,2015-02-17 10:52:33,500,500,500,100,500,100,500,88,100,500,100,100,65397
67,1_entrance,2015-02-17 10:52:35,500,500,500,100,500,100,500,87,100,500,83,100,65397
68,1_entrance,2015-02-17 10:52:36,500,500,500,100,500,100,500,100,100,500,83,100,65397
69,1_entrance,2015-02-17 10:52:37,500,500,500,100,500,100,500,87,100,500,83,500,65397
70,1_entrance,2015-02-17 10:52:38,500,500,500,500,500,81,500,87,100,500,83,500,65397
71,1_entrance,2015-02-17 10:52:38,500,500,500,500,500,81,500,87,100,500,83,500,65397
72,1_entrance,2015-02-17 10:52:40,500,500,500,500,500,89,500,85,100,500,87,500,65397
73,1_entrance,2015-02-17 10:52:41,500,500,500,500,500,100,500,100,89,500,76,85,65397
74,1_entrance,2015-02-17 10:52:42,500,500,500,500,500,100,500,100,100,500,76,100,65397
75,1_entrance,2015-02-17 10:52:43,500,500,500,500,500,89,500,100,79,500,80,79,65397
76,1_entrance,2015-02-17 10:52:43,500,500,500,500,500,89,500,100,79,500,80,79,65397
77,1_entrance,2015-02-17 10:52:44,500,500,500,500,500,100,500,81,100,500,80,100,65397
78,1_entrance,2015-02-17 10:52:45,500,500,500,500,500,100,500,100,74,500,83,100,65397
79,1_entrance,2015-02-17 10:52:47,500,500,500,500,500,87,500,82,79,500,74,100,65397
80,1_entrance,2015-02-17 10:52:47,500,500,500,500,500,87,500,82,79,500,74,100,65397
81,1_entrance,2015-02-17 10:52:49,500,500,500,500,500,100,500,86,86,500,81,100,65397
82,1_entrance,2015-02-17 10:52:50,500,500,500,500,500,85,500,86,100,500,81,100,65397
83,1_entrance,2015-02-17 10:52:50,500,500,500,500,500,85,500,86,100,500,81,100,65397
84,1_entrance,2015-02-17 10:52:52,500,500,500,500,500,100,500,81,100,500,77,100,65397
85,1_entrance,2015-02-17 10:52:53,500,500,500,500,500,100,500,80,100,500,81,100,65397
86,1_entrance,2015-02-17 10:52:54,500,500,500,500,500,86,500,81,100,500,81,100,65397
87,1_entrance,2015-02-17 10:52:54,500,500,500,500,500,86,500,81,100,500,81,100,65397
88,1_entrance,2015-02-17 10:52:56,500,500,500,500,500,100,500,100,100,500,81,100,65397
89,1_entrance,2015-02-17 10:52:57,500,500,500,500,500,100,500,100,69,500,100,100,65397
90,1_entrance,2015-02-17 10:52:58,500,500,500,500,500,100,500,85,100,500,100,100,65397
91,1_entrance,2015-02-17 10:52:59,500,500,500,500,500,100,500,85,76,500,85,100,65397
92,1_entrance,2015-02-17 10:53:00,500,500,500,500,500,85,500,100,100,500,85,100,65397
93,1_entrance,2015-02-17 10:53:01,500,500,500,500,500,86,500,85,79,500,74,500,65397
94,1_entrance,2015-02-17 10:53:02,88,500,500,500,500,100,500,80,100,500,74,500,65397
95,1_entrance,2015-02-17 10:53:02,88,500,500,500,500,100,500,80,100,500,74,500,65397
96,1_entrance,2015-02-17 10:53:04,88,500,500,500,500,88,500,83,100,500,75,500,65397
97,1_entrance,2015-02-17 10:53:05,88,500,500,500,500,88,500,79,82,500,83,500,65397
98,1_entrance,2015-02-17 10:53:05,88,500,500,500,500,88,500,79,82,500,83,500,65397
99,1_entrance,2015-02-17 10:53:06,100,500,500,500,500,100,500,100,100,500,83,500,65397
100,1_entrance,2015-02-17 10:53:08,100,500,500,500,500,100,500,84,100,500,75,500,65397
101,1_entrance,2015-02-17 10:53:09,100,500,500,500,500,100,500,85,80,500,78,87,65397
102,1_entrance,2015-02-17 10:53:09,100,500,500,500,500,100,500,85,80,500,78,87,65397
103,1_entrance,2015-02-17 10:53:11,87,500,500,500,500,85,500,83,100,500,86,86,65397
104,1_entrance,2015-02-17 10:53:12,88,500,500,500,500,85,500,83,100,500,86,85,65397
105,1_entrance,2015-02-17 10:53:13,89,500,500,500,500,85,500,81,86,500,76,84,65397
106,1_entrance,2015-02-17 10:53:14,100,500,500,500,500,100,500,81,83,500,73,84,65397
107,1_entrance,2015-02-17 10:53:15,100,500,500,500,500,87,500,83,81,500,74,89,65397
108,1_entrance,2015-02-17 10:53:16,100,500,500,500,500,85,500,84,84,500,77,87,65397
