,location,timestamp,11057,12724,13846,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,19896,38591
0,none,2015-02-17 10:22:18,100,500,100,88,94,94,82,78,88,66141,500,500,500
1,none,2015-02-17 10:22:19,100,500,100,95,95,100,83,77,91,66141,500,500,500
2,none,2015-02-17 10:22:20,100,500,100,92,97,100,84,82,94,66141,500,500,500
3,none,2015-02-17 10:22:21,100,500,100,91,100,87,83,85,87,66141,500,500,500
4,none,2015-02-17 10:22:22,100,500,100,90,100,87,85,80,87,66141,500,500,500
5,none,2015-02-17 10:22:23,100,100,95,88,100,87,86,77,94,66141,500,500,500
6,none,2015-02-17 10:22:24,100,100,95,92,94,87,84,78,92,66141,500,500,500
7,none,2015-02-17 10:22:25,100,100,100,94,97,85,80,74,91,66141,500,500,500
8,none,2015-02-17 10:22:26,100,100,100,87,95,84,80,75,90,66141,500,500,500
9,none,2015-02-17 10:22:27,100,100,100,100,100,86,84,82,88,66141,500,500,500
10,none,2015-02-17 10:22:28,100,100,100,100,100,100,87,86,88,66141,500,500,500
11,none,2015-02-17 10:22:29,100,100,100,100,100,100,82,84,100,66141,500,500,500
12,none,2015-02-17 10:22:30,100,100,100,88,100,100,81,84,100,66141,500,500,500
13,none,2015-02-17 10:22:31,100,100,100,100,100,89,85,82,87,66141,500,500,500
14,none,2015-02-17 10:22:32,100,100,100,100,100,78,85,79,83,66141,500,500,500
15,none,2015-02-17 10:22:33,100,500,500,100,100,100,85,76,81,66141,500,500,500
16,none,2015-02-17 10:22:34,100,500,500,100,100,89,83,76,82,66141,500,500,500
17,none,2015-02-17 10:22:35,100,500,500,100,100,89,81,79,82,66141,500,500,500
18,none,2015-02-17 10:22:36,500,500,500,84,500,88,80,79,83,66141,500,500,500
19,none,2015-02-17 10:22:37,500,500,500,84,500,88,79,81,83,66141,500,500,500
20,none,2015-02-17 10:22:38,500,500,500,84,500,88,79,77,84,66141,500,500,500
21,none,2015-02-17 10:22:39,500,500,500,83,500,88,79,75,83,66141,500,500,500
22,none,2015-02-17 10:22:40,500,500,500,100,500,100,79,78,84,66141,500,500,500
23,none,2015-02-17 10:22:41,500,500,500,88,500,100,79,82,85,66141,500,500,500
24,none,2015-02-17 10:22:42,500,500,500,88,500,89,81,74,85,66141,500,500,500
25,none,2015-02-17 10:22:43,500,500,500,88,500,86,81,76,83,66141,500,500,500
26,none,2015-02-17 10:22:44,89,500,500,85,500,84,79,84,83,66141,500,500,500
27,none,2015-02-17 10:22:45,100,500,500,100,500,87,79,81,85,66141,500,500,500
28,none,2015-02-17 10:22:46,100,500,500,100,500,88,80,80,83,66141,500,500,500
29,none,2015-02-17 10:22:47,100,500,500,87,500,89,82,77,83,66141,500,500,500
30,none,2015-02-17 10:22:48,100,500,500,88,500,100,79,81,84,66141,500,500,500
31,none,2015-02-17 10:22:49,100,500,500,100,500,100,80,79,86,66141,500,500,500
32,none,2015-02-17 10:22:50,100,500,500,89,500,88,84,79,80,66141,500,500,500
33,none,2015-02-17 10:22:51,100,500,500,86,500,86,85,75,76,66141,500,500,500
34,none,2015-02-17 10:22:52,100,500,500,86,500,85,89,79,77,66141,500,500,500
35,none,2015-02-17 10:22:53,100,500,500,86,500,85,100,78,82,66141,500,500,500
