,location,timestamp,11057,12647,12724,13846,19896,28873,31853,34946,38215,38591,40399,47682,visitor_history_id
0,none,2015-02-17 11:18:39,500,500,500,500,500,100,500,86,100,500,85,100,80198
1,none,2015-02-17 11:18:40,500,500,500,500,500,100,500,87,100,500,84,100,80198
2,none,2015-02-17 11:18:41,500,500,500,500,500,100,500,89,100,500,85,100,80198
3,none,2015-02-17 11:18:42,500,500,500,500,500,500,500,100,100,500,84,100,80198
4,none,2015-02-17 11:18:43,500,500,500,500,500,500,500,86,100,500,84,100,80198
5,none,2015-02-17 11:18:44,500,500,500,500,500,500,500,87,100,500,84,100,80198
6,none,2015-02-17 11:18:45,500,500,500,500,500,500,500,89,100,500,84,100,80198
7,none,2015-02-17 11:18:46,500,500,500,500,500,500,500,100,87,500,83,100,80198
8,none,2015-02-17 11:18:47,500,500,500,500,500,500,500,100,84,500,83,500,80198
9,1_entrance,2015-02-17 11:18:48,500,500,500,500,500,500,500,100,82,500,83,500,80198
10,1_entrance,2015-02-17 11:18:49,500,500,500,500,500,500,500,100,79,500,100,500,80198
11,1_entrance,2015-02-17 11:18:50,500,500,500,500,500,500,500,100,79,500,100,500,80198
12,1_entrance,2015-02-17 11:18:51,500,500,500,500,500,500,500,100,78,500,88,500,80198
13,1_entrance,2015-02-17 11:18:52,500,500,500,500,500,500,500,100,78,500,89,500,80198
14,1_entrance,2015-02-17 11:18:53,500,500,500,500,500,500,500,100,79,500,89,500,80198
15,1_entrance,2015-02-17 11:18:54,500,500,500,500,500,500,500,500,82,500,87,500,80198
16,1_entrance,2015-02-17 11:18:54,500,500,500,500,500,500,500,500,82,500,87,500,80198
17,1_entrance,2015-02-17 11:18:56,87,500,500,500,500,79,500,500,81,500,73,86,80198
18,1_entrance,2015-02-17 11:18:57,100,500,500,500,500,100,94,88,85,500,81,88,80198
19,1_entrance,2015-02-17 11:18:57,100,500,500,500,500,100,94,88,85,500,81,88,80198
20,1_entrance,2015-02-17 11:18:59,100,500,500,500,500,90,100,80,84,500,77,85,80198
21,1_entrance,2015-02-17 11:18:59,100,500,500,500,500,90,100,80,84,500,77,85,80198
22,1_entrance,2015-02-17 11:19:01,100,500,500,500,500,100,100,100,76,500,84,100,80198
23,1_entrance,2015-02-17 11:19:02,100,500,500,500,500,100,100,100,83,500,85,100,80198
24,1_entrance,2015-02-17 11:19:03,100,500,500,500,500,100,100,100,85,500,86,100,80198
25,1_entrance,2015-02-17 11:19:04,100,500,500,500,500,100,100,100,84,500,88,100,80198
26,1_entrance,2015-02-17 11:19:05,100,500,500,500,500,100,100,100,77,500,100,100,80198
27,none,2015-02-17 11:19:06,500,500,500,500,500,100,100,100,78,500,89,100,80198
28,none,2015-02-17 11:19:07,500,500,500,500,500,100,100,100,86,500,86,100,80198
29,none,2015-02-17 11:19:08,500,500,500,500,500,100,500,100,87,500,87,100,80198
30,none,2015-02-17 11:19:09,500,500,500,500,500,500,500,500,80,500,85,500,80198
31,none,2015-02-17 11:19:10,500,500,500,500,500,500,500,500,79,500,85,500,80198
32,none,2015-02-17 11:19:11,500,500,500,500,500,500,500,500,80,500,86,500,80198
33,none,2015-02-17 11:19:12,500,500,500,500,500,500,500,500,79,500,87,500,80198
34,none,2015-02-17 11:19:13,500,500,500,500,500,500,500,500,76,500,85,500,80198
35,none,2015-02-17 11:19:14,500,500,500,500,500,500,500,500,77,500,83,500,80198
36,none,2015-02-17 11:19:15,88,500,500,500,500,500,500,500,75,500,84,500,80198
37,none,2015-02-17 11:19:16,100,500,500,500,500,86,500,85,76,500,86,89,80198
38,none,2015-02-17 11:19:17,100,500,500,500,500,100,500,85,78,500,81,100,80198
39,none,2015-02-17 11:19:18,100,500,500,500,500,100,500,86,76,500,81,100,80198
40,none,2015-02-17 11:19:19,100,500,500,500,500,100,500,100,83,500,84,88,80198
41,1_lobby_aud,2015-02-17 11:19:20,87,500,500,500,500,100,500,100,83,500,83,88,80198
42,1_lobby_aud,2015-02-17 11:19:21,100,500,500,500,500,87,500,87,86,500,85,86,80198
43,1_lobby_aud,2015-02-17 11:19:22,86,500,500,500,500,87,500,100,86,500,86,100,80198
44,1_lobby_aud,2015-02-17 11:19:23,86,500,500,500,500,100,500,100,86,500,84,89,80198
45,1_lobby_aud,2015-02-17 11:19:24,88,500,500,500,500,100,500,78,87,500,84,100,80198
46,1_lobby_aud,2015-02-17 11:19:25,88,500,500,500,500,100,500,81,81,500,84,100,80198
47,1_lobby_aud,2015-02-17 11:19:26,100,500,500,500,500,100,500,80,83,500,85,100,80198
48,1_lobby_aud,2015-02-17 11:19:27,100,500,500,500,500,100,500,75,84,500,89,100,80198
49,1_lobby_aud,2015-02-17 11:19:28,100,500,500,500,500,100,500,69,100,500,100,100,80198
50,1_lobby_aud,2015-02-17 11:19:29,100,500,500,500,500,100,500,67,100,500,100,100,80198
51,1_lobby_aud,2015-02-17 11:19:30,100,500,500,500,500,100,500,66,100,500,100,100,80198
52,1_lobby_aud,2015-02-17 11:19:30,100,500,500,500,500,100,500,66,100,500,100,100,80198
53,1_lobby_aud,2015-02-17 11:19:32,100,500,500,500,500,500,500,84,88,500,88,100,80198
54,1_lobby_aud,2015-02-17 11:19:32,100,500,500,500,500,500,500,84,88,500,88,100,80198
55,1_lobby_aud,2015-02-17 11:19:33,100,500,500,500,500,500,500,84,100,500,100,500,80198
56,1_lobby_aud,2015-02-17 11:19:34,500,500,500,500,500,500,500,82,100,500,100,500,80198
57,1_lobby_aud,2015-02-17 11:19:35,500,500,500,500,500,500,500,80,100,500,100,500,80198
58,1_lobby_aud,2015-02-17 11:19:36,500,500,500,500,500,500,500,80,100,500,100,500,80198
59,1_lobby_aud,2015-02-17 11:19:38,500,500,500,500,500,500,500,84,100,500,100,500,80198
60,1_lobby_aud,2015-02-17 11:19:39,500,500,500,500,500,500,500,84,100,500,100,500,80198
61,1_lobby_aud,2015-02-17 11:19:39,500,500,500,500,500,500,500,84,100,500,100,500,80198
62,1_lobby_aud,2015-02-17 11:19:40,500,500,500,500,500,500,500,81,100,500,100,500,80198
63,1_lobby_aud,2015-02-17 11:19:41,500,500,500,500,500,500,500,100,100,500,100,500,80198
64,1_lobby_aud,2015-02-17 11:19:42,500,500,500,500,500,500,500,88,500,500,500,500,80198
65,1_lobby_aud,2015-02-17 11:19:43,500,500,500,500,500,500,500,100,500,500,500,500,80198
66,1_lobby_aud,2015-02-17 11:19:44,500,500,500,500,500,500,500,100,500,500,500,500,80198
67,1_lobby_aud,2015-02-17 11:19:45,500,500,500,500,500,500,500,82,500,500,500,500,80198
68,1_lobby_aud,2015-02-17 11:19:46,500,500,500,500,500,500,500,100,500,500,500,500,80198
69,1_lobby_aud,2015-02-17 11:19:47,500,500,500,500,500,500,500,87,500,500,500,500,80198
70,1_lobby_aud,2015-02-17 11:19:48,500,500,500,500,500,500,500,87,500,500,500,500,80198
71,1_lobby_aud,2015-02-17 11:19:49,500,500,500,500,500,500,500,86,500,500,500,500,80198
72,1_lobby_aud,2015-02-17 11:19:50,500,500,500,500,500,500,500,86,500,500,500,500,80198
73,1_lobby_aud,2015-02-17 11:19:51,500,500,500,500,500,500,500,100,500,500,500,500,80198
74,1_lobby_aud,2015-02-17 11:19:52,500,500,500,500,500,500,500,100,500,500,500,500,80198
