,location,timestamp,11057,12724,13846,19896,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,38591
0,none,2015-02-17 10:11:43,500,500,500,500,100,500,83,78,81,85,62874,500,500
1,none,2015-02-17 10:11:44,500,500,500,500,100,88,86,76,86,86,62874,500,500
2,none,2015-02-17 10:11:45,500,500,500,500,82,88,85,75,81,89,62874,500,500
3,none,2015-02-17 10:11:46,500,500,500,500,82,100,82,72,81,88,62874,500,500
4,none,2015-02-17 10:11:47,500,500,500,500,86,100,88,75,80,100,62874,500,500
5,1_entrance,2015-02-17 10:11:48,500,500,500,500,87,100,86,76,82,89,62874,500,500
6,1_entrance,2015-02-17 10:11:49,500,500,500,500,88,100,82,73,83,88,62874,500,500
7,1_entrance,2015-02-17 10:11:50,500,500,500,500,88,100,84,74,77,89,62874,500,500
8,1_entrance,2015-02-17 10:11:51,500,500,500,500,88,100,88,81,77,100,62874,500,500
9,1_entrance,2015-02-17 10:11:53,500,500,500,500,100,100,85,82,88,100,62874,500,500
10,1_entrance,2015-02-17 10:11:53,500,500,500,500,100,100,85,82,88,100,62874,500,500
11,1_entrance,2015-02-17 10:11:54,500,500,500,500,100,500,83,75,84,100,62874,500,500
12,1_entrance,2015-02-17 10:11:55,500,500,500,500,87,500,85,75,80,100,62874,500,500
13,1_entrance,2015-02-17 10:11:56,500,500,500,500,84,500,88,75,80,100,62874,500,500
14,1_entrance,2015-02-17 10:11:57,500,500,500,500,89,500,88,100,83,88,62874,500,500
15,1_entrance,2015-02-17 10:11:58,500,500,500,500,100,500,100,79,85,88,62874,500,500
16,1_entrance,2015-02-17 10:11:59,500,500,500,500,87,500,88,100,86,88,62874,500,500
17,1_entrance,2015-02-17 10:12:00,500,500,500,500,87,500,88,77,100,86,62874,500,500
18,1_entrance,2015-02-17 10:12:01,500,500,500,500,100,500,100,100,100,100,62874,500,500
19,1_entrance,2015-02-17 10:12:02,500,500,500,500,100,500,100,83,100,100,62874,500,500
20,1_entrance,2015-02-17 10:12:03,500,500,500,500,100,500,79,100,100,100,62874,500,500
21,1_entrance,2015-02-17 10:12:04,500,500,500,500,100,500,79,100,100,100,62874,500,500
22,1_entrance,2015-02-17 10:12:05,500,500,500,500,100,500,100,100,100,100,62874,500,500
23,1_entrance,2015-02-17 10:12:06,500,500,500,500,100,500,100,83,100,100,62874,500,500
24,1_entrance,2015-02-17 10:12:07,500,500,500,500,100,500,88,83,100,100,62874,500,500
25,1_entrance,2015-02-17 10:12:08,500,500,500,500,88,500,88,100,82,89,62874,500,500
26,1_entrance,2015-02-17 10:12:09,500,500,500,500,88,500,78,100,82,100,62874,500,500
27,1_entrance,2015-02-17 10:12:10,500,500,500,500,88,500,78,100,81,100,62874,500,500
28,1_entrance,2015-02-17 10:12:11,500,500,500,500,88,500,89,100,81,100,62874,500,500
29,1_entrance,2015-02-17 10:12:12,500,500,500,500,100,500,86,87,89,100,62874,500,500
30,1_entrance,2015-02-17 10:12:13,500,500,500,500,89,500,84,87,89,100,62874,500,500
31,1_entrance,2015-02-17 10:12:14,500,500,500,500,89,500,88,100,100,87,62874,500,500
32,1_entrance,2015-02-17 10:12:15,500,500,500,500,87,500,82,100,100,100,62874,500,500
33,1_entrance,2015-02-17 10:12:16,500,500,500,500,100,500,84,100,82,100,62874,500,500
34,1_entrance,2015-02-17 10:12:17,500,500,500,500,100,500,100,100,82,100,62874,500,500
35,1_entrance,2015-02-17 10:12:18,500,500,500,500,100,500,100,78,100,100,62874,500,500
36,1_entrance,2015-02-17 10:12:19,500,500,500,500,100,500,84,78,100,100,62874,500,500
37,1_entrance,2015-02-17 10:12:20,500,500,500,500,87,500,86,86,78,100,62874,500,500
38,1_entrance,2015-02-17 10:12:21,500,500,500,500,100,500,85,86,78,100,62874,500,500
39,1_entrance,2015-02-17 10:12:22,500,500,500,500,100,500,85,85,86,100,62874,500,500
40,1_entrance,2015-02-17 10:12:23,500,500,500,500,100,500,82,85,86,100,62874,500,500
41,1_entrance,2015-02-17 10:12:24,500,500,500,500,100,500,80,82,82,500,62874,500,500
42,1_entrance,2015-02-17 10:12:25,500,500,500,500,100,500,100,82,82,500,62874,500,500
43,1_entrance,2015-02-17 10:12:26,500,500,500,500,100,500,100,100,84,500,62874,500,500
44,1_entrance,2015-02-17 10:12:27,500,500,500,500,100,500,89,100,84,500,62874,500,500
45,1_entrance,2015-02-17 10:12:28,500,500,500,500,100,500,89,88,100,500,62874,500,500
46,1_entrance,2015-02-17 10:12:29,500,500,500,500,100,500,89,88,100,500,62874,500,500
47,1_entrance,2015-02-17 10:12:30,500,500,500,500,500,500,100,82,82,500,62874,500,500
48,1_entrance,2015-02-17 10:12:31,500,500,500,500,500,500,100,82,82,500,62874,500,500
49,1_entrance,2015-02-17 10:12:32,500,500,500,500,500,500,84,100,83,500,62874,500,500
50,1_entrance,2015-02-17 10:12:33,500,500,500,500,500,500,85,100,83,500,62874,500,500
