,location,timestamp,11057,12647,12724,13846,19896,28873,31853,34946,38215,38591,40399,47682,visitor_history_id
0,none,2015-02-17 11:18:39,89,500,500,500,500,86,500,78,69,500,83,500,65397
1,none,2015-02-17 11:18:40,89,500,500,500,500,87,500,100,69,500,86,500,65397
2,none,2015-02-17 11:18:41,100,500,500,500,500,88,500,86,70,500,86,500,65397
3,none,2015-02-17 11:18:42,100,500,500,500,500,100,500,86,70,500,80,500,65397
4,none,2015-02-17 11:18:43,100,500,500,500,500,100,500,100,78,500,80,500,65397
5,none,2015-02-17 11:18:44,100,500,500,500,500,100,500,100,83,500,80,500,65397
6,none,2015-02-17 11:18:45,100,500,500,500,500,100,500,85,80,500,78,87,65397
7,none,2015-02-17 11:18:46,100,500,500,500,500,100,500,85,82,500,77,100,65397
8,none,2015-02-17 11:18:47,100,500,500,500,500,100,500,100,78,500,81,100,65397
9,1_entrance,2015-02-17 11:18:48,100,500,500,500,500,86,500,88,79,500,83,100,65397
10,1_entrance,2015-02-17 11:18:49,500,500,500,500,500,86,500,100,80,500,85,100,65397
11,1_entrance,2015-02-17 11:18:50,88,500,500,500,500,86,500,87,75,500,84,88,65397
12,1_entrance,2015-02-17 11:18:51,88,500,500,500,500,100,500,83,76,500,79,87,65397
13,1_entrance,2015-02-17 11:18:52,100,500,500,500,500,100,500,100,78,500,77,87,65397
14,1_entrance,2015-02-17 11:18:53,100,500,500,500,500,100,500,100,78,500,86,87,65397
15,1_entrance,2015-02-17 11:18:54,100,500,500,500,500,100,500,89,81,500,84,88,65397
16,1_entrance,2015-02-17 11:18:54,100,500,500,500,500,100,500,89,81,500,84,88,65397
17,1_entrance,2015-02-17 11:18:56,100,500,500,500,500,100,500,89,82,500,78,100,65397
18,1_entrance,2015-02-17 11:18:57,100,500,500,500,500,89,500,84,85,500,75,89,65397
19,1_entrance,2015-02-17 11:18:57,100,500,500,500,500,89,500,84,85,500,75,89,65397
20,1_entrance,2015-02-17 11:18:59,86,500,500,500,500,100,500,81,79,500,76,87,65397
21,1_entrance,2015-02-17 11:18:59,86,500,500,500,500,100,500,81,79,500,76,87,65397
22,1_entrance,2015-02-17 11:19:01,100,500,500,500,500,86,500,87,84,500,77,87,65397
23,1_entrance,2015-02-17 11:19:02,100,500,500,500,500,84,500,85,87,500,76,100,65397
24,1_entrance,2015-02-17 11:19:03,100,500,500,500,500,100,500,78,87,500,75,88,65397
25,1_entrance,2015-02-17 11:19:04,100,500,500,500,500,100,500,74,79,500,76,88,65397
26,1_entrance,2015-02-17 11:19:05,100,500,500,500,500,100,500,78,78,500,77,83,65397
27,none,2015-02-17 11:19:06,100,500,500,500,500,100,500,83,87,500,76,100,65397
28,none,2015-02-17 11:19:07,87,500,500,500,500,100,500,86,86,500,73,86,65397
29,none,2015-02-17 11:19:08,89,500,500,500,500,100,500,88,78,500,75,88,65397
30,none,2015-02-17 11:19:09,100,500,500,500,500,100,500,72,80,500,78,87,65397
31,none,2015-02-17 11:19:10,84,500,500,500,500,79,89,79,82,500,80,86,65397
32,none,2015-02-17 11:19:11,100,500,500,500,500,82,100,77,85,500,84,86,65397
33,none,2015-02-17 11:19:12,100,500,500,500,500,84,100,75,82,500,80,84,65397
34,none,2015-02-17 11:19:13,100,500,500,500,500,87,100,71,84,500,81,85,65397
35,none,2015-02-17 11:19:14,85,500,500,500,500,89,88,73,83,500,81,84,65397
36,none,2015-02-17 11:19:15,85,500,500,500,500,100,88,100,85,500,84,85,65397
37,none,2015-02-17 11:19:16,84,500,500,500,500,77,88,71,88,500,84,84,65397
38,none,2015-02-17 11:19:17,84,500,500,500,500,77,100,72,88,500,83,85,65397
39,none,2015-02-17 11:19:18,84,500,500,500,500,80,100,68,83,500,83,89,65397
40,none,2015-02-17 11:19:19,88,500,500,500,500,83,100,67,82,500,82,88,65397
41,1_lobby_aud,2015-02-17 11:19:20,88,500,500,500,500,100,100,72,80,500,86,87,65397
42,1_lobby_aud,2015-02-17 11:19:21,100,500,500,500,500,100,100,78,80,500,82,100,65397
43,1_lobby_aud,2015-02-17 11:19:22,100,500,500,500,500,100,100,76,84,500,84,100,65397
44,1_lobby_aud,2015-02-17 11:19:23,100,500,500,500,500,89,100,79,81,500,81,86,65397
45,1_lobby_aud,2015-02-17 11:19:24,84,500,500,500,500,100,100,87,80,500,80,100,65397
46,1_lobby_aud,2015-02-17 11:19:25,100,500,500,500,500,100,100,80,78,500,86,100,65397
47,1_lobby_aud,2015-02-17 11:19:26,100,500,500,500,500,100,500,79,78,500,86,88,65397
48,1_lobby_aud,2015-02-17 11:19:27,88,500,500,500,500,100,500,79,85,500,85,100,65397
49,1_lobby_aud,2015-02-17 11:19:28,85,500,500,500,500,100,89,75,87,500,84,100,65397
50,1_lobby_aud,2015-02-17 11:19:29,100,500,500,500,500,100,100,77,87,500,84,100,65397
51,1_lobby_aud,2015-02-17 11:19:30,100,500,500,500,500,100,100,100,100,500,100,100,65397
52,1_lobby_aud,2015-02-17 11:19:30,100,500,500,500,500,100,100,100,100,500,100,100,65397
53,1_lobby_aud,2015-02-17 11:19:32,100,500,500,500,500,100,100,78,100,500,100,100,65397
54,1_lobby_aud,2015-02-17 11:19:32,100,500,500,500,500,100,100,78,100,500,100,100,65397
55,1_lobby_aud,2015-02-17 11:19:33,100,500,500,500,500,500,100,83,100,500,100,100,65397
56,1_lobby_aud,2015-02-17 11:19:34,100,500,500,500,500,500,100,100,100,500,100,100,65397
57,1_lobby_aud,2015-02-17 11:19:35,100,500,500,500,500,500,100,85,100,500,100,100,65397
58,1_lobby_aud,2015-02-17 11:19:36,100,500,500,500,500,500,100,86,100,500,100,500,65397
59,1_lobby_aud,2015-02-17 11:19:38,500,500,500,500,500,500,500,89,500,500,500,500,65397
60,1_lobby_aud,2015-02-17 11:19:39,500,500,500,500,500,500,500,87,500,500,500,500,65397
61,1_lobby_aud,2015-02-17 11:19:39,500,500,500,500,500,500,500,87,500,500,500,500,65397
62,1_lobby_aud,2015-02-17 11:19:40,500,500,500,500,500,500,500,86,500,500,89,500,65397
63,1_lobby_aud,2015-02-17 11:19:41,500,500,500,500,500,500,500,100,500,500,88,500,65397
64,1_lobby_aud,2015-02-17 11:19:42,500,500,500,500,500,500,500,100,500,500,100,500,65397
65,1_lobby_aud,2015-02-17 11:19:43,500,500,500,500,500,500,500,81,500,500,100,500,65397
66,1_lobby_aud,2015-02-17 11:19:44,500,500,500,500,500,500,500,84,500,500,100,500,65397
67,1_lobby_aud,2015-02-17 11:19:45,500,500,500,500,500,500,500,87,500,500,100,500,65397
68,1_lobby_aud,2015-02-17 11:19:46,500,500,500,500,500,500,500,100,500,500,100,500,65397
69,1_lobby_aud,2015-02-17 11:19:47,500,500,500,500,500,500,500,84,500,500,100,500,65397
70,1_lobby_aud,2015-02-17 11:19:48,500,500,500,500,500,500,500,84,500,500,100,500,65397
71,1_lobby_aud,2015-02-17 11:19:49,500,500,500,500,500,500,500,80,500,500,100,500,65397
72,1_lobby_aud,2015-02-17 11:19:50,500,500,500,500,500,500,500,82,500,500,100,500,65397
73,1_lobby_aud,2015-02-17 11:19:51,500,500,500,500,500,500,500,86,500,500,500,500,65397
74,1_lobby_aud,2015-02-17 11:19:52,500,500,500,500,500,500,500,83,500,500,500,500,65397
75,1_lobby_aud,2015-02-17 11:19:53,500,500,500,500,500,500,500,85,500,500,500,500,65397
76,1_lobby_aud,2015-02-17 11:19:54,500,500,500,500,500,500,500,88,500,500,500,500,65397
77,1_lobby_aud,2015-02-17 11:19:55,500,500,500,500,500,500,500,89,500,500,500,500,65397
78,1_lobby_aud,2015-02-17 11:19:56,500,500,500,500,500,500,500,81,500,500,500,500,65397
79,1_lobby_aud,2015-02-17 11:19:57,500,500,500,500,500,500,500,81,500,500,500,500,65397
80,1_lobby_aud,2015-02-17 11:19:58,500,500,500,500,500,500,500,81,500,500,500,500,65397
81,1_lobby_aud,2015-02-17 11:19:59,500,500,500,500,500,500,500,81,500,500,500,500,65397
82,1_lobby_aud,2015-02-17 11:20:00,500,500,500,500,500,500,500,81,500,500,500,500,65397
83,1_lobby_aud,2015-02-17 11:20:01,500,500,500,500,500,500,500,83,500,500,500,500,65397
84,1_lobby_aud,2015-02-17 11:20:02,500,500,500,500,500,500,500,86,500,500,500,500,65397
