,location,timestamp,11057,12724,13846,19896,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,38591
105,1_lobby_aud,2015-02-17 10:19:26,500,500,500,500,89,500,73,88,86,500,53756,500,500
106,1_lobby_aud,2015-02-17 10:19:27,87,500,500,500,89,89,73,88,87,500,53756,500,500
107,1_lobby_aud,2015-02-17 10:19:28,87,500,500,500,100,89,74,88,86,88,53756,500,500
108,1_lobby_aud,2015-02-17 10:19:29,100,500,500,500,100,100,75,88,86,89,53756,500,500
109,1_lobby_aud,2015-02-17 10:19:30,100,500,500,500,86,89,81,82,84,88,53756,500,500
110,1_lobby_aud,2015-02-17 10:19:31,84,500,500,500,81,88,78,86,85,88,53756,500,500
111,1_lobby_aud,2015-02-17 10:19:32,100,500,500,500,79,87,73,85,84,86,53756,500,500
112,1_lobby_aud,2015-02-17 10:19:33,100,500,500,500,80,87,72,85,85,85,53756,500,500
113,1_lobby_aud,2015-02-17 10:19:34,100,500,500,500,81,86,72,81,80,86,53756,500,500
114,1_lobby_aud,2015-02-17 10:19:35,100,500,500,500,84,86,78,80,75,88,53756,500,500
115,1_lobby_aud,2015-02-17 10:19:36,100,500,500,500,100,86,82,78,80,88,53756,500,500
116,1_lobby_aud,2015-02-17 10:19:37,100,500,500,500,88,84,84,77,83,100,53756,500,500
117,1_lobby_aud,2015-02-17 10:19:38,88,500,500,500,88,89,83,78,82,87,53756,500,500
118,1_lobby_aud,2015-02-17 10:19:39,88,500,500,500,87,87,86,76,82,87,53756,500,500
119,1_lobby_aud,2015-02-17 10:19:40,89,500,500,500,100,86,82,81,83,88,53756,500,500
120,1_lobby_aud,2015-02-17 10:19:41,89,500,500,500,79,86,86,81,79,88,53756,500,500
121,1_lobby_aud,2015-02-17 10:19:42,100,500,500,500,84,87,100,81,78,88,53756,500,500
122,1_lobby_aud,2015-02-17 10:19:43,100,500,500,500,84,86,67,84,79,88,53756,500,500
123,1_lobby_aud,2015-02-17 10:19:44,100,500,500,500,100,87,69,86,81,88,53756,500,500
124,1_lobby_aud,2015-02-17 10:19:45,84,500,500,500,100,89,81,87,82,100,53756,500,500
125,1_lobby_aud,2015-02-17 10:19:46,84,500,500,500,100,86,82,88,78,100,53756,500,500
126,1_lobby_aud,2015-02-17 10:19:47,89,500,500,500,100,88,78,87,78,100,53756,500,500
127,1_lobby_aud,2015-02-17 10:19:48,87,500,500,500,100,100,75,100,80,100,53756,500,500
128,none,2015-02-17 10:19:49,85,500,500,500,100,88,80,100,80,100,53756,500,500
129,none,2015-02-17 10:19:50,81,500,500,500,100,88,80,100,80,100,53756,500,500
130,none,2015-02-17 10:19:51,100,500,500,500,100,100,79,100,80,100,53756,500,500
131,none,2015-02-17 10:19:52,100,500,500,500,500,89,77,100,80,100,53756,500,500
132,none,2015-02-17 10:19:53,84,500,500,500,500,89,75,100,84,500,53756,500,500
133,none,2015-02-17 10:19:54,84,500,500,500,500,100,89,88,84,500,53756,500,500
134,none,2015-02-17 10:19:55,83,500,500,500,500,100,83,87,85,500,53756,500,500
135,none,2015-02-17 10:19:56,79,500,500,500,500,100,78,100,88,500,53756,500,500
136,none,2015-02-17 10:19:57,82,500,500,500,500,100,77,100,89,500,53756,500,500
137,none,2015-02-17 10:19:58,83,500,500,500,500,100,82,100,89,500,53756,500,500
138,1_class_lezin,2015-02-17 10:19:59,80,500,500,500,500,100,76,100,100,500,53756,500,500
139,1_class_lezin,2015-02-17 10:20:00,87,500,500,500,500,100,81,100,100,500,53756,500,500
140,1_class_lezin,2015-02-17 10:20:01,85,500,500,500,500,100,81,100,100,500,53756,500,500
141,1_class_lezin,2015-02-17 10:20:02,84,500,500,500,500,500,100,100,100,500,53756,500,500
142,1_class_lezin,2015-02-17 10:20:03,86,500,500,500,500,500,78,100,100,500,53756,500,500
143,1_class_lezin,2015-02-17 10:20:04,87,500,500,500,500,500,88,100,100,500,53756,500,500
144,1_class_lezin,2015-02-17 10:20:05,85,500,500,500,500,500,82,500,100,500,53756,500,500
145,1_class_lezin,2015-02-17 10:20:06,82,500,500,500,500,500,76,500,100,500,53756,500,500
146,1_class_lezin,2015-02-17 10:20:07,82,500,500,500,500,500,69,500,86,500,53756,500,500
147,1_class_lezin,2015-02-17 10:20:08,82,500,500,500,500,500,77,500,88,500,53756,500,500
148,1_class_lezin,2015-02-17 10:20:09,83,500,500,500,500,500,77,500,88,500,53756,500,500
