p,timestamp,y,yhat,yhat_smooth,yhat_threshold,p_threshold,hmm_pred
0.6,2015-02-28 15:01:31,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_entrance
0.6,2015-02-28 15:01:32,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_lobby_aud
0.9,2015-02-28 15:01:33,None,2_gal_south,2_gal_north,2_gal_south,0.9,1_lobby_aud
1.0,2015-02-28 15:01:34,None,2_gal_south,2_gal_north,2_gal_south,1.0,1_class_lezin
0.7,2015-02-28 15:01:35,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.5,2015-02-28 15:01:36,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 15:01:37,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.8,2015-02-28 15:01:38,None,2_gal_south,2_gal_south,2_gal_south,0.8,1_class_lezin
0.9,2015-02-28 15:01:39,None,2_gal_south,2_gal_south,2_gal_south,0.9,1_class_lezin
0.6,2015-02-28 15:01:40,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 15:01:41,None,1_class_lezin,2_gal_south,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 15:01:42,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 15:01:43,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 15:01:44,None,1_class_lezin,2_gal_south,2_gal_south,0.2,1_class_lezin
0.8,2015-02-28 15:01:45,None,2_gal_south,2_gal_south,2_gal_south,0.8,1_class_lezin
0.9,2015-02-28 15:01:46,None,2_gal_north,2_gal_south,2_gal_north,0.9,1_class_lezin
0.8,2015-02-28 15:01:47,None,2_gal_north,2_gal_south,2_gal_north,0.8,1_class_lezin
0.8,2015-02-28 15:01:48,None,2_gal_north,1_class_lezin,2_gal_north,0.8,1_class_lezin
0.8,2015-02-28 15:01:49,None,2_gal_north,1_class_lezin,2_gal_north,0.8,1_class_lezin
0.8,2015-02-28 15:01:50,None,2_gal_north,1_class_lezin,2_gal_north,0.8,1_class_lezin
0.8,2015-02-28 15:01:51,None,2_gal_north,1_class_lezin,2_gal_north,0.8,1_class_lezin
0.9,2015-02-28 15:01:52,None,2_gal_north,1_class_lezin,2_gal_north,0.9,1_class_lezin
0.7,2015-02-28 15:01:53,None,2_gal_north,1_class_lezin,2_gal_north,0.7,1_class_lezin
0.9,2015-02-28 15:01:54,None,2_gal_north,1_class_lezin,2_gal_north,0.9,1_class_lezin
0.8,2015-02-28 15:01:55,None,2_gal_north,1_class_lezin,2_gal_north,0.8,1_class_lezin
0.4,2015-02-28 15:01:56,None,2_gal_north,1_class_lezin,2_gal_north,0.2,1_class_lezin
0.8,2015-02-28 15:01:57,None,2_gal_south,1_class_lezin,2_gal_south,0.8,1_class_lezin
0.6,2015-02-28 15:01:58,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.4,2015-02-28 15:01:59,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 15:02:00,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 15:02:01,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
1.0,2015-02-28 15:02:02,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.5,2015-02-28 15:02:03,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.4,2015-02-28 15:02:04,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 15:02:05,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.5,2015-02-28 15:02:06,None,2_gal_south,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.8,2015-02-28 15:02:07,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
0.8,2015-02-28 15:02:08,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
1.0,2015-02-28 15:02:09,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.9,2015-02-28 15:02:10,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
0.6,2015-02-28 15:02:11,None,1_class_lezin,2_gal_south,1_class_lezin,0.2,1_class_lezin
0.7,2015-02-28 15:02:12,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.6,2015-02-28 15:02:13,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.8,2015-02-28 15:02:14,None,2_gal_south,1_class_lezin,2_gal_south,0.8,1_class_lezin
0.4,2015-02-28 15:02:15,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.8,2015-02-28 15:02:16,None,2_gal_south,2_gal_south,2_gal_south,0.8,1_class_lezin
0.3,2015-02-28 15:02:17,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.4,2015-02-28 15:02:18,None,2_gal_north,2_gal_south,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 15:02:19,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.4,2015-02-28 15:02:20,None,2_gal_south,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.6,2015-02-28 15:02:21,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.6,2015-02-28 15:02:22,None,1_class_lezin,2_gal_south,1_class_lezin,0.2,1_class_lezin
0.4,2015-02-28 15:02:23,None,2_gal_north,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.4,2015-02-28 15:02:24,None,2_gal_north,1_class_lezin,1_class_lezin,0.2,1_class_lezin
1.0,2015-02-28 15:02:25,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.9,2015-02-28 15:02:26,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
1.0,2015-02-28 15:02:27,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 15:02:28,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.6,2015-02-28 15:02:29,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 15:02:30,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 15:02:31,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
1.0,2015-02-28 15:02:32,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 15:02:33,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 15:02:34,None,2_gal_south,2_gal_south,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 15:02:35,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 15:02:36,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.6,2015-02-28 15:02:37,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.9,2015-02-28 15:02:38,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
1.0,2015-02-28 15:02:39,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.9,2015-02-28 15:02:40,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
1.0,2015-02-28 15:02:41,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 15:02:42,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 15:02:43,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 15:02:44,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 15:02:45,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
0.9,2015-02-28 15:02:46,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
1.0,2015-02-28 15:02:47,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.7,2015-02-28 15:02:48,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 15:02:49,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.6,2015-02-28 15:02:50,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 15:02:51,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 15:02:52,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 15:02:53,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 15:02:54,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 15:02:55,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 15:02:56,None,1_class_lezin,2_gal_south,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 15:02:57,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 15:02:58,None,1_class_lezin,2_gal_south,1_class_lezin,0.7,1_class_lezin
