p,timestamp,y,yhat,yhat_smooth,yhat_threshold,p_threshold,hmm_pred
0.4,2015-03-01 14:44:35,None,2_gal_south,2_gal_south,1_entrance,0.2,1_entrance
0.8,2015-03-01 14:44:36,None,2_gal_south,2_gal_south,2_gal_south,0.8,1_entrance
0.6,2015-03-01 14:44:37,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_entrance
0.7,2015-03-01 14:44:38,None,2_gal_north,1_class_lezin,2_gal_north,0.7,1_entrance
0.5,2015-03-01 14:44:39,None,2_gal_south,1_class_lezin,2_gal_north,0.2,1_entrance
0.4,2015-03-01 14:44:40,None,2_gal_south,1_class_lezin,2_gal_north,0.2,1_entrance
0.5,2015-03-01 14:44:41,None,2_gal_north,1_class_lezin,2_gal_north,0.2,1_entrance
0.7,2015-03-01 14:44:42,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_entrance
0.6,2015-03-01 14:44:43,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_entrance
0.4,2015-03-01 14:44:44,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_entrance
0.5,2015-03-01 14:44:45,None,2_gal_north,2_gal_south,1_class_lezin,0.2,1_entrance
0.7,2015-03-01 14:44:46,None,2_gal_north,2_gal_south,2_gal_north,0.7,1_entrance
0.5,2015-03-01 14:44:47,None,2_gal_north,2_gal_south,2_gal_north,0.2,1_entrance
0.5,2015-03-01 14:44:48,None,2_gal_north,2_gal_south,2_gal_north,0.2,1_entrance
0.6,2015-03-01 14:44:49,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.6,2015-03-01 14:44:50,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.5,2015-03-01 14:44:51,None,2_1_stairs,1_class_lezin,3_2_stairs,0.2,1_entrance
0.5,2015-03-01 14:44:52,None,2_1_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.6,2015-03-01 14:44:53,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.6,2015-03-01 14:44:54,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.6,2015-03-01 14:44:55,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.6,2015-03-01 14:44:56,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.6,2015-03-01 14:44:57,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.6,2015-03-01 14:44:58,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,1_entrance
0.6,2015-03-01 14:44:59,None,3_2_stairs,1_class_lezin,3_2_stairs,0.2,1_entrance
0.5,2015-03-01 14:45:00,None,1_class_lezin,1_class_lezin,3_2_stairs,0.2,1_entrance
0.4,2015-03-01 14:45:01,None,2_gal_south,2_gal_south,3_2_stairs,0.2,1_entrance
0.8,2015-03-01 14:45:02,None,1_class_lezin,2_gal_south,1_class_lezin,0.8,1_entrance
0.9,2015-03-01 14:45:03,None,1_class_lezin,2_gal_south,1_class_lezin,0.9,1_entrance
0.9,2015-03-01 14:45:04,None,1_class_lezin,2_gal_south,1_class_lezin,0.9,1_entrance
0.7,2015-03-01 14:45:05,None,1_class_lezin,1_lobby_aud,1_class_lezin,0.7,1_entrance
0.9,2015-03-01 14:45:06,None,1_class_lezin,1_entrance,1_class_lezin,0.9,1_entrance
