p,timestamp,y,yhat,yhat_smooth,yhat_threshold,p_threshold,hmm_pred
0.7,2015-02-28 12:23:05,None,2_gal_south,2_gal_south,2_gal_south,0.7,1_entrance
0.6,2015-02-28 12:23:06,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_lobby_aud
0.6,2015-02-28 12:23:07,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_lobby_aud
0.6,2015-02-28 12:23:08,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_lobby_aud
0.4,2015-02-28 12:23:09,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_lobby_aud
0.4,2015-02-28 12:23:10,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_lobby_aud
0.4,2015-02-28 12:23:11,None,1_class_lezin,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 12:23:12,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 12:23:13,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.5,2015-02-28 12:23:14,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 12:23:15,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 12:23:16,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.5,2015-02-28 12:23:17,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 12:23:18,None,3_2_stairs,1_class_lezin,3_2_stairs,0.2,1_class_lezin
0.6,2015-02-28 12:23:19,None,3_2_stairs,1_class_lezin,3_2_stairs,0.2,1_class_lezin
0.6,2015-02-28 12:23:20,None,3_2_stairs,1_class_lezin,3_2_stairs,0.2,1_class_lezin
0.6,2015-02-28 12:23:21,None,3_2_stairs,1_class_lezin,3_2_stairs,0.2,1_class_lezin
0.5,2015-02-28 12:23:22,None,2_1_stairs,1_class_lezin,3_2_stairs,0.2,1_class_lezin
