p,timestamp,y,yhat,yhat_smooth,yhat_threshold,p_threshold,hmm_pred
0.5,2015-03-01 14:09:49,None,2_1_stairs,3_2_stairs,1_entrance,0.2,1_entrance
0.5,2015-03-01 14:09:50,None,2_1_stairs,3_2_stairs,1_entrance,0.2,1_lobby_aud
0.6,2015-03-01 14:09:51,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,2_1_stairs
0.6,2015-03-01 14:09:52,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:09:53,None,2_1_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:09:54,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:09:55,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:09:56,None,2_1_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:09:57,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:09:58,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:09:59,None,2_1_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:10:00,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:10:01,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:10:02,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:10:03,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:10:04,None,2_1_stairs,2_gal_north,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:10:05,None,2_1_stairs,2_gal_north,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:10:06,None,2_gal_south,2_gal_south,3_2_stairs,0.2,3_2_stairs
0.4,2015-03-01 14:10:07,None,2_gal_north,2_gal_south,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:10:08,None,2_gal_north,2_gal_south,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:10:09,None,2_gal_south,2_gal_north,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 14:10:10,None,2_1_stairs,1_class_lezin,2_gal_south,0.2,3_2_stairs
0.8,2015-03-01 14:10:11,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:12,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:13,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:14,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:15,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:16,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:17,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:18,None,3_2_stairs,2_gal_north,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:19,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.5,2015-03-01 14:10:20,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:10:21,None,2_1_stairs,2_gal_north,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:10:22,None,2_1_stairs,2_gal_north,3_2_stairs,0.2,3_2_stairs
0.5,2015-03-01 14:10:23,None,2_1_stairs,2_gal_north,3_2_stairs,0.2,3_2_stairs
0.8,2015-03-01 14:10:24,None,3_2_stairs,2_gal_north,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:25,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:26,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:27,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:28,None,3_2_stairs,2_gal_north,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:29,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:30,None,3_2_stairs,2_gal_north,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:31,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:32,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:33,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:34,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:35,None,3_2_stairs,2_gal_north,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:36,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:37,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:38,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:39,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:40,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:41,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:42,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:43,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:44,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:45,None,3_2_stairs,2_1_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:46,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:47,None,3_2_stairs,1_class_lezin,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:48,None,3_2_stairs,3_2_stairs,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:49,None,3_2_stairs,2_gal_north,3_2_stairs,0.8,3_2_stairs
0.8,2015-03-01 14:10:50,None,3_2_stairs,2_gal_south,3_2_stairs,0.8,3_2_stairs
0.6,2015-03-01 14:10:51,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:10:52,None,3_2_stairs,2_gal_south,3_2_stairs,0.2,3_2_stairs
0.7,2015-03-01 14:10:53,None,2_gal_south,2_gal_north,2_gal_south,0.7,3_2_stairs
0.5,2015-03-01 14:10:54,None,2_gal_north,2_1_stairs,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 14:10:55,None,2_gal_north,2_1_stairs,2_gal_south,0.2,3_2_stairs
0.6,2015-03-01 14:10:56,None,2_gal_south,2_1_stairs,2_gal_south,0.2,3_2_stairs
0.7,2015-03-01 14:10:57,None,2_gal_south,3_2_stairs,2_gal_south,0.7,3_2_stairs
0.7,2015-03-01 14:10:58,None,2_gal_south,2_1_stairs,2_gal_south,0.7,3_2_stairs
0.5,2015-03-01 14:10:59,None,2_gal_north,2_1_stairs,2_gal_south,0.2,3_2_stairs
0.8,2015-03-01 14:11:00,None,1_class_lezin,2_1_stairs,1_class_lezin,0.8,3_2_stairs
0.8,2015-03-01 14:11:01,None,1_class_lezin,2_1_stairs,1_class_lezin,0.8,3_2_stairs
0.8,2015-03-01 14:11:02,None,1_class_lezin,2_1_stairs,1_class_lezin,0.8,3_2_stairs
0.8,2015-03-01 14:11:03,None,1_class_lezin,2_1_stairs,1_class_lezin,0.8,3_2_stairs
0.8,2015-03-01 14:11:04,None,1_class_lezin,3_2_stairs,1_class_lezin,0.8,3_2_stairs
0.8,2015-03-01 14:11:05,None,1_class_lezin,2_1_stairs,1_class_lezin,0.8,3_2_stairs
0.8,2015-03-01 14:11:06,None,1_class_lezin,2_1_stairs,1_class_lezin,0.8,3_2_stairs
0.8,2015-03-01 14:11:07,None,1_class_lezin,2_gal_south,1_class_lezin,0.8,3_2_stairs
0.5,2015-03-01 14:11:08,None,2_gal_north,2_gal_south,1_class_lezin,0.2,3_2_stairs
0.8,2015-03-01 14:11:09,None,2_gal_south,2_gal_south,2_gal_south,0.8,3_2_stairs
0.6,2015-03-01 14:11:10,None,2_gal_south,2_gal_south,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 14:11:11,None,2_gal_north,3_2_stairs,2_gal_south,0.2,3_2_stairs
0.7,2015-03-01 14:11:12,None,2_gal_north,3_2_stairs,2_gal_north,0.7,3_2_stairs
0.5,2015-03-01 14:11:13,None,2_gal_north,3_2_stairs,2_gal_north,0.2,3_2_stairs
0.5,2015-03-01 14:11:14,None,2_gal_north,2_lobby,2_gal_north,0.2,3_2_stairs
0.8,2015-03-01 14:11:15,None,2_gal_south,2_lobby,2_gal_south,0.8,3_2_stairs
0.8,2015-03-01 14:11:16,None,2_gal_south,3_2_stairs,2_gal_south,0.8,3_2_stairs
0.6,2015-03-01 14:11:17,None,2_gal_south,3_2_stairs,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 14:11:18,None,2_gal_north,3_2_stairs,2_gal_south,0.2,3_2_stairs
0.6,2015-03-01 14:11:19,None,2_gal_south,2_lobby,2_gal_south,0.2,3_2_stairs
0.5,2015-03-01 14:11:20,None,2_gal_north,2_lobby,2_gal_south,0.2,3_2_stairs
0.6,2015-03-01 14:11:21,None,2_gal_south,2_lobby,2_gal_south,0.2,3_2_stairs
0.6,2015-03-01 14:11:22,None,2_gal_south,3_2_stairs,2_gal_south,0.2,3_2_stairs
0.6,2015-03-01 14:11:23,None,2_gal_south,3_2_stairs,2_gal_south,0.2,3_2_stairs
0.6,2015-03-01 14:11:24,None,1_class_lezin,3_2_stairs,1_class_lezin,0.2,3_2_stairs
0.5,2015-03-01 14:11:25,None,2_gal_north,3_2_stairs,1_class_lezin,0.2,3_2_stairs
0.7,2015-03-01 14:11:26,None,2_gal_south,3_2_stairs,2_gal_south,0.7,3_2_stairs
0.6,2015-03-01 14:11:27,None,2_gal_south,3_2_stairs,2_gal_south,0.2,3_2_stairs
0.7,2015-03-01 14:11:28,None,2_gal_south,3_2_stairs,2_gal_south,0.7,3_2_stairs
0.6,2015-03-01 14:11:29,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:11:30,None,3_2_stairs,3_2_stairs,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:11:31,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
0.6,2015-03-01 14:11:32,None,3_2_stairs,2_hist_old,3_2_stairs,0.2,3_2_stairs
