11057,12647,12724,13846,28873,31853,34946,38215,38591,40399,47682,location,timestamp,visitor_history_id,19896
86,500,91,91,75,87,69,81,500,76,85,None,2015-02-28 14:10:06, 46692,500
84,500,100,92,81,86,68,80,90,74,84,None,2015-02-28 14:10:07, 46692,500
83,500,88,92,81,88,77,84,96,79,84,None,2015-02-28 14:10:08, 46692,500
82,100,88,100,82,84,84,85,96,79,86,None,2015-02-28 14:10:09, 46692,500
83,100,100,100,78,86,71,84,100,80,85,None,2015-02-28 14:10:10, 46692,500
80,100,100,92,72,88,75,86,100,83,88,None,2015-02-28 14:10:11, 46692,500
83,100,100,92,84,89,65,85,100,83,90,None,2015-02-28 14:10:12, 46692,500
85,100,100,100,81,89,63,83,100,82,88,None,2015-02-28 14:10:13, 46692,500
91,100,100,90,82,93,70,81,100,79,88,None,2015-02-28 14:10:14, 46692,500
100,100,100,84,85,86,71,74,100,73,87,None,2015-02-28 14:10:15, 46692,500
75,95,100,83,80,87,72,75,100,74,85,None,2015-02-28 14:10:16, 46692,500
76,95,100,83,100,86,85,75,100,78,85,None,2015-02-28 14:10:17, 46692,500
81,100,500,93,82,86,81,81,93,79,82,None,2015-02-28 14:10:18, 46692,500
91,100,500,91,87,88,80,83,93,76,79,None,2015-02-28 14:10:19, 46692,500
90,100,500,89,79,86,81,81,100,76,81,None,2015-02-28 14:10:20, 46692,500
84,100,500,100,79,86,75,77,100,81,83,None,2015-02-28 14:10:21, 46692,500
84,100,94,100,77,87,72,75,100,75,81,None,2015-02-28 14:10:22, 46692,500
91,100,94,100,77,87,75,78,100,74,80,None,2015-02-28 14:10:23, 46692,500
90,100,96,87,88,89,77,78,100,76,81,None,2015-02-28 14:10:24, 46692,500
88,92,100,87,82,89,75,76,100,77,86,None,2015-02-28 14:10:25, 46692,500
87,100,92,100,82,89,74,74,95,71,85,None,2015-02-28 14:10:26, 46692,500
94,100,92,100,87,89,100,76,95,70,85,None,2015-02-28 14:10:27, 46692,500
93,100,91,81,86,88,82,79,100,69,84,None,2015-02-28 14:10:28, 46692,500
90,100,92,81,83,87,84,75,100,66,82,None,2015-02-28 14:10:29, 46692,500
92,86,92,100,84,85,90,78,100,68,79,None,2015-02-28 14:10:30, 46692,500
92,91,100,100,79,88,100,79,100,70,80,None,2015-02-28 14:10:31, 46692,500
100,91,100,100,77,89,84,80,92,69,82,None,2015-02-28 14:10:32, 46692,500
100,86,92,100,77,86,84,79,90,73,78,None,2015-02-28 14:10:33, 46692,500
100,86,100,80,80,84,81,81,93,73,77,None,2015-02-28 14:10:34, 46692,500
100,86,100,79,84,85,82,84,92,69,83,None,2015-02-28 14:10:35, 46692,500
92,82,100,79,86,87,85,80,91,71,88,None,2015-02-28 14:10:36, 46692,500
90,82,100,74,84,87,86,80,91,76,84,None,2015-02-28 14:10:37, 46692,500
93,83,89,75,90,86,86,81,88,68,84,None,2015-02-28 14:10:38, 46692,500
100,86,86,78,100,85,96,81,89,69,83,None,2015-02-28 14:10:39, 46692,500
100,92,83,84,75,86,87,83,90,73,79,None,2015-02-28 14:10:40, 46692,500
100,87,91,78,100,85,81,83,88,75,78,None,2015-02-28 14:10:41, 46692,500
100,86,93,83,65,85,81,78,87,75,77,None,2015-02-28 14:10:42, 46692,500
100,89,96,81,70,83,89,82,88,75,84,None,2015-02-28 14:10:43, 46692,500
100,91,91,79,65,86,90,87,90,75,80,None,2015-02-28 14:10:44, 46692,500
100,100,92,89,68,87,93,88,93,75,81,None,2015-02-28 14:10:45, 46692,500
100,84,91,86,68,86,100,86,85,74,84,None,2015-02-28 14:10:46, 46692,500
100,81,87,74,66,88,86,87,86,82,84,None,2015-02-28 14:10:47, 46692,500
500,100,86,74,66,87,85,90,84,81,84,None,2015-02-28 14:10:48, 46692,500
500,92,100,79,78,88,89,90,87,80,82,None,2015-02-28 14:10:49, 46692,500
500,84,100,75,73,90,96,90,91,78,82,None,2015-02-28 14:10:50, 46692,500
500,84,96,80,72,85,100,88,89,75,82,None,2015-02-28 14:10:51, 46692,500
500,86,96,83,73,85,100,85,85,75,85,None,2015-02-28 14:10:52, 46692,500
500,84,100,78,71,87,94,83,88,79,82,None,2015-02-28 14:10:53, 46692,500
500,76,89,77,69,86,90,87,89,81,82,None,2015-02-28 14:10:54, 46692,500
500,76,92,100,69,82,89,89,84,76,84,None,2015-02-28 14:10:55, 46692,500
500,78,100,74,82,85,89,90,88,85,79,None,2015-02-28 14:10:56, 46692,500
500,84,90,100,70,84,89,87,88,83,80,None,2015-02-28 14:10:57, 46692,500
500,84,92,83,70,87,93,86,87,84,84,None,2015-02-28 14:10:58, 46692,500
500,83,94,78,62,86,93,89,86,86,87,None,2015-02-28 14:10:59, 46692,500
500,83,100,77,67,88,93,92,86,85,89,None,2015-02-28 14:11:00, 46692,500
