11057,12647,13846,28873,31853,34946,38215,38591,40399,47682,location,timestamp,visitor_history_id,12724,19896
100,500,500,88,500,82,96,500,100,100,None,2015-02-28 14:56:21, 48842,500,500
100,500,500,89,500,85,100,500,90,100,None,2015-02-28 14:56:22, 48842,500,500
94,500,500,87,500,93,90,500,90,91,None,2015-02-28 14:56:23, 48842,500,500
96,500,95,86,500,90,100,500,89,100,None,2015-02-28 14:56:24, 48842,500,500
100,500,100,92,500,91,85,500,85,92,None,2015-02-28 14:56:25, 48842,500,500
100,500,100,94,500,96,100,500,85,100,None,2015-02-28 14:56:26, 48842,500,500
100,500,100,91,100,100,92,500,83,91,None,2015-02-28 14:56:27, 48842,500,500
100,500,97,93,100,100,100,500,82,100,None,2015-02-28 14:56:28, 48842,500,500
94,500,100,89,100,87,87,500,87,93,None,2015-02-28 14:56:29, 48842,500,500
100,500,100,100,100,84,100,500,87,100,None,2015-02-28 14:56:30, 48842,500,500
92,500,100,92,100,90,89,500,82,100,None,2015-02-28 14:56:31, 48842,500,500
100,500,100,100,100,86,100,500,81,100,None,2015-02-28 14:56:32, 48842,500,500
88,500,100,89,100,85,100,500,81,100,None,2015-02-28 14:56:33, 48842,500,500
88,500,100,89,100,100,100,500,84,100,None,2015-02-28 14:56:34, 48842,500,500
88,500,100,100,100,85,100,500,82,87,None,2015-02-28 14:56:35, 48842,500,500
88,500,100,100,100,88,100,500,82,100,None,2015-02-28 14:56:36, 48842,500,500
100,500,100,82,100,100,86,500,81,100,None,2015-02-28 14:56:37, 48842,500,500
100,500,500,82,100,100,100,500,82,100,None,2015-02-28 14:56:38, 48842,500,500
100,500,500,83,100,100,88,500,83,82,None,2015-02-28 14:56:39, 48842,500,500
100,500,500,85,100,100,100,500,86,100,None,2015-02-28 14:56:40, 48842,500,500
100,500,500,100,100,83,84,500,86,100,None,2015-02-28 14:56:41, 48842,500,500
100,500,500,100,500,81,100,500,77,100,None,2015-02-28 14:56:42, 48842,500,500
100,500,500,88,500,80,100,500,69,100,None,2015-02-28 14:56:43, 48842,500,500
100,500,500,88,500,86,100,500,67,100,None,2015-02-28 14:56:44, 48842,500,500
500,500,500,100,500,86,88,500,66,100,None,2015-02-28 14:56:45, 48842,500,500
87,500,500,100,500,85,100,500,71,100,None,2015-02-28 14:56:46, 48842,500,500
100,500,500,85,500,83,100,500,73,100,None,2015-02-28 14:56:47, 48842,500,500
100,500,500,100,500,84,100,500,77,100,None,2015-02-28 14:56:48, 48842,500,500
100,500,500,100,500,85,81,500,73,500,None,2015-02-28 14:56:49, 48842,500,500
100,500,500,100,500,79,100,500,72,500,None,2015-02-28 14:56:50, 48842,500,500
100,500,500,100,500,100,100,500,73,500,None,2015-02-28 14:56:51, 48842,500,500
100,500,500,84,500,78,100,500,81,500,None,2015-02-28 14:56:52, 48842,500,500
100,500,500,89,500,87,100,500,82,500,None,2015-02-28 14:56:53, 48842,500,500
100,500,500,89,500,85,100,500,81,500,None,2015-02-28 14:56:54, 48842,500,500
100,500,500,100,500,86,88,500,80,88,None,2015-02-28 14:56:55, 48842,500,500
500,500,500,100,500,89,100,500,80,100,None,2015-02-28 14:56:56, 48842,500,500
500,500,500,100,500,86,86,500,80,100,None,2015-02-28 14:56:57, 48842,500,500
88,500,500,100,500,82,86,500,79,100,None,2015-02-28 14:56:58, 48842,500,500
88,500,500,100,500,82,89,500,72,100,None,2015-02-28 14:56:59, 48842,500,500
